Unique Class Stereotype,Class Count
boundary data-class small-class,1
controller degenerate,1
entity boundary,2
data-provider small-class,1
degenerate,1
data-provider boundary small-class,2
commander,3
boundary degenerate small-class,5
entity commander boundary,6
boundary,7
boundary small-class,1
data-provider boundary,2
commander boundary small-class,20
commander boundary,16
commander small-class,3
empty,107
unclassified,2
small-class,1
entity boundary small-class,2
data-provider data-class small-class,2
data-provider,2
Total,187
