Unique Class Stereotype,Class Count
commander boundary degenerate,1
entity small-class,1
boundary degenerate small-class,601
pure-controller small-class,11
boundary,145
commander boundary small-class,48
boundary small-class,14
commander data-class small-class,4
data-provider data-class,2
controller small-class,49
unclassified,141
boundary data-class small-class,11
commander boundary,384
degenerate small-class,98
boundary lazy-class,3
entity commander boundary,68
factory degenerate small-class,725
minimal-entity data-provider boundary,1
data-provider,39
pure-controller degenerate small-class,289
entity boundary small-class,93
entity minimal-entity commander boundary,1
small-class,183
data-provider small-class,23
empty,1198
data-provider lazy-class small-class,3
commander data-class,2
pure-controller degenerate,12
entity data-provider boundary,25
data-provider boundary data-class,5
lazy-class small-class,48
commander boundary lazy-class,4
data-class,3
commander boundary data-class small-class,4
commander,326
entity boundary,118
boundary degenerate,13
commander boundary lazy-class degenerate,1
boundary lazy-class degenerate,1
controller degenerate,3
degenerate,91
controller lazy-class degenerate,2
commander small-class,354
boundary data-class,3
commander boundary lazy-class small-class,1
commander lazy-class small-class,9
data-provider boundary small-class,123
pure-controller,3
controller,1
data-provider boundary,60
entity minimal-entity boundary,7
lazy-class degenerate,7
data-provider lazy-class,1
data-provider data-class small-class,7
data-provider boundary data-class small-class,4
data-class small-class,3
minimal-entity boundary,6
commander degenerate,10
factory controller small-class,5
commander boundary data-class,1
data-provider boundary lazy-class,2
Total,5401
