Unique Method Stereotype,Method Count
get wrapper,1
predicate controller,1
get property non-void-command,1
property set collaborator,2
void-accessor set collaborator,1
collaborator,5
property wrapper,11
void-accessor controller,4
predicate,12
void-accessor command,13
void-accessor wrapper,3
wrapper stateless,20
get collaborator,33
predicate non-void-command collaborator,12
controller,3
incidental,1
command collaborator,9
constructor,41
get property collaborator,2
set,3
predicate non-void-command,11
predicate collaborator,10
wrapper,1
destructor,9
get,30
collaborator incidental,1
command,8
property non-void-command,2
property collaborator,8
controller stateless,17
set collaborator,4
property non-void-command collaborator,10
property controller,5
void-accessor collaborator,11
void-accessor command collaborator,17
void-accessor,2
property,9
Total,333
