Unique Method Stereotype,Method Count
factory wrapper stateless,4
void-accessor set,1
factory collaborator stateless,2
get non-void-command factory collaborator,1
get property set collaborator,3
get command collaborator,1
factory,2
get predicate wrapper,1
get property,4
predicate set collaborator,12
get set collaborator,30
property non-void-command,183
predicate set,15
property non-void-command factory collaborator,22
non-void-command,2
set collaborator,512
property non-void-command collaborator,761
property controller,110
predicate,240
set factory collaborator,1
collaborator,119
incidental,215
controller,244
get wrapper,36
wrapper stateless,615
get command,2
get controller,2
get collaborator,1058
factory stateless,6
get non-void-command collaborator,68
property wrapper,211
property,280
command collaborator,1841
get,902
collaborator incidental,267
get property non-void-command collaborator,19
property set,15
set,928
constructor,1093
get property controller,8
empty,384
command,1556
unclassified,61
get predicate non-void-command,1
non-void-command factory,1
get set,29
predicate non-void-command collaborator,271
wrapper,348
destructor,496
get property wrapper,8
property set collaborator,37
property collaborator,603
stateless,4
get predicate controller,1
predicate wrapper,59
get non-void-command,45
non-void-command collaborator,44
predicate controller,31
non-void-command factory collaborator,12
controller stateless,405
void-accessor wrapper,28
predicate non-void-command,184
void-accessor command,11
factory controller stateless,9
get set factory,5
void-accessor set collaborator,5
get property collaborator,11
get property non-void-command,7
void-accessor controller,17
property factory controller,5
void-accessor command collaborator,93
predicate collaborator,125
void-accessor,6
copy-constructor,112
void-accessor collaborator,28
factory incidental,2
property command collaborator,7
Total,14887
