Unique Class Stereotype,Class Count
boundary lazy-class degenerate,1
lazy-class,1
data-provider boundary degenerate,1
data-provider lazy-class,1
entity boundary small-class,3
entity boundary data-class,1
data-provider boundary lazy-class degenerate,1
commander boundary data-class,1
entity minimal-entity data-provider boundary,2
data-class small-class,2
entity boundary,25
degenerate small-class,8
small-class,21
data-provider lazy-class degenerate,1
boundary data-class small-class,2
commander boundary,16
controller,5
commander boundary data-class small-class,1
entity boundary degenerate,1
commander small-class,2
controller small-class,1
unclassified,9
boundary degenerate small-class,8
data-provider boundary small-class,11
empty,76
commander,2
data-provider boundary,16
data-provider boundary data-class,1
minimal-entity commander boundary,1
commander boundary small-class,17
commander data-class small-class,1
boundary small-class,8
data-provider data-class,1
lazy-class small-class,8
commander boundary lazy-class,1
entity commander boundary,4
entity boundary data-class small-class,1
pure-controller degenerate small-class,7
data-class,1
data-provider small-class,43
commander boundary lazy-class small-class,1
boundary data-class,6
data-provider lazy-class small-class,1
entity data-provider boundary,4
data-provider,8
boundary,28
degenerate,3
pure-controller small-class,2
Total,366
