Unique Class Stereotype,Class Count
data-provider boundary data-class small-class,1
controller,1
factory degenerate,1
boundary small-class,3
degenerate small-class,7
entity boundary small-class,11
entity data-provider boundary,6
factory controller degenerate,1
boundary degenerate small-class,10
entity boundary,25
lazy-class small-class,1
lazy-class degenerate,1
commander boundary,14
boundary degenerate,4
data-provider boundary,13
data-provider lazy-class,1
data-provider boundary small-class,25
controller small-class,3
unclassified,42
commander,16
empty,171
commander boundary lazy-class degenerate,1
data-provider data-class small-class,4
data-provider,9
data-provider small-class,7
data-class,1
entity commander boundary,4
pure-controller degenerate small-class,10
commander boundary small-class,25
degenerate,3
boundary,14
pure-controller small-class,1
commander boundary data-class small-class,1
commander small-class,5
entity boundary degenerate,9
small-class,15
Total,466
