Unique Class Stereotype,Class Count
lazy-class,1
entity factory controller small-class,1
commander boundary data-class small-class,1
commander small-class,4
degenerate small-class,16
boundary lazy-class,2
boundary data-class,4
data-provider small-class,8
data-provider boundary small-class,15
pure-controller degenerate,5
controller,1
commander boundary,13
boundary degenerate,2
entity boundary,15
data-provider data-class,1
boundary small-class,4
data-provider boundary data-class small-class,7
data-provider boundary,14
commander,13
empty,399
controller small-class,2
unclassified,39
small-class,31
entity boundary small-class,5
boundary degenerate small-class,36
pure-controller degenerate small-class,15
entity commander boundary,6
data-provider,13
data-provider data-class small-class,3
data-provider lazy-class degenerate,1
boundary data-class small-class,3
lazy-class data-class small-class,1
pure-controller small-class,1
boundary,26
degenerate,5
commander boundary small-class,5
entity minimal-entity boundary,2
controller degenerate,1
entity data-provider boundary,3
Total,724
