Class Name,Class Stereotype,Method Name,Method Stereotype
"TestVaarg","empty","TestVaarg","constructor",
"TestUtils","boundary degenerate","TestUtils","constructor",
"TestUtils","boundary degenerate","run","wrapper stateless",
"TestUtils","boundary degenerate","isValidGlobPattern","unclassified",
"TestUtils","boundary degenerate","matchglob","wrapper stateless",
"TestUtils","boundary degenerate","isStringLiteral","unclassified",
"TestUtils","boundary degenerate","isCharLiteral","unclassified",
"TestUtils","boundary degenerate","strToInt","wrapper stateless",
"TestUtils","boundary degenerate","id_string","wrapper stateless",
"TestUtils","boundary degenerate","startsWith","wrapper stateless",
"TestUtils","boundary degenerate","trim","unclassified",
"TestUtils","boundary degenerate","findAndReplace","wrapper stateless",
"TestUnusedVar","commander","TestUnusedVar","constructor",
"TestUnusedVar","commander","run","wrapper stateless",
"TestUnusedVar","commander","checkStructMemberUsage_","void-accessor controller",
"TestUnusedVar","commander","checkStructMemberUsageP_","void-accessor controller",
"TestUnusedVar","commander","checkFunctionVariableUsageP_","void-accessor controller",
"TestUnusedVar","commander","isRecordTypeWithoutSideEffects","command",
"TestUnusedVar","commander","cleanFunction","command",
"TestUnusedVar","commander","emptyclass","command",
"TestUnusedVar","commander","emptystruct","command",
"TestUnusedVar","commander","structmember1","command",
"TestUnusedVar","commander","structmember2","command",
"TestUnusedVar","commander","structmember3","command",
"TestUnusedVar","commander","structmember4","command",
"TestUnusedVar","commander","structmember5","command",
"TestUnusedVar","commander","structmember6","command",
"TestUnusedVar","commander","structmember7","command",
"TestUnusedVar","commander","structmember8","command",
"TestUnusedVar","commander","structmember9","command",
"TestUnusedVar","commander","structmember10","command",
"TestUnusedVar","commander","structmember11","command",
"TestUnusedVar","commander","structmember12","command",
"TestUnusedVar","commander","structmember13","command",
"TestUnusedVar","commander","structmember14","command",
"TestUnusedVar","commander","structmember15","command collaborator",
"TestUnusedVar","commander","structmember_extern","command",
"TestUnusedVar","commander","structmember_sizeof","command",
"TestUnusedVar","commander","structmember16","command",
"TestUnusedVar","commander","structmember17","command",
"TestUnusedVar","commander","structmember18","command",
"TestUnusedVar","commander","structmember19","command collaborator",
"TestUnusedVar","commander","structmember20","command",
"TestUnusedVar","commander","structmember21","command",
"TestUnusedVar","commander","structmember22","command",
"TestUnusedVar","commander","structmember23","command",
"TestUnusedVar","commander","structmember24","command",
"TestUnusedVar","commander","structmember25","command",
"TestUnusedVar","commander","structmember_macro","command",
"TestUnusedVar","commander","classmember","command",
"TestUnusedVar","commander","functionVariableUsage_","void-accessor controller",
"TestUnusedVar","commander","localvar1","command",
"TestUnusedVar","commander","localvar2","command",
"TestUnusedVar","commander","localvar3","command",
"TestUnusedVar","commander","localvar4","command",
"TestUnusedVar","commander","localvar5","command",
"TestUnusedVar","commander","localvar6","command",
"TestUnusedVar","commander","localvar8","command",
"TestUnusedVar","commander","localvar9","command",
"TestUnusedVar","commander","localvar10","command",
"TestUnusedVar","commander","localvar11","command",
"TestUnusedVar","commander","localvar12","command",
"TestUnusedVar","commander","localvar13","command",
"TestUnusedVar","commander","localvar14","command",
"TestUnusedVar","commander","localvar15","command",
"TestUnusedVar","commander","localvar16","command",
"TestUnusedVar","commander","localvar17","command",
"TestUnusedVar","commander","localvar18","command",
"TestUnusedVar","commander","localvar19","command",
"TestUnusedVar","commander","localvar20","command",
"TestUnusedVar","commander","localvar21","command",
"TestUnusedVar","commander","localvar22","command",
"TestUnusedVar","commander","localvar23","command",
"TestUnusedVar","commander","localvar24","command",
"TestUnusedVar","commander","localvar25","command",
"TestUnusedVar","commander","localvar26","command",
"TestUnusedVar","commander","localvar27","command",
"TestUnusedVar","commander","localvar28","command",
"TestUnusedVar","commander","localvar29","command",
"TestUnusedVar","commander","localvar30","command",
"TestUnusedVar","commander","localvar31","command",
"TestUnusedVar","commander","localvar32","command",
"TestUnusedVar","commander","localvar33","command",
"TestUnusedVar","commander","localvar34","command",
"TestUnusedVar","commander","localvar35","command",
"TestUnusedVar","commander","localvar36","command",
"TestUnusedVar","commander","localvar37","command",
"TestUnusedVar","commander","localvar38","command",
"TestUnusedVar","commander","localvar39","command",
"TestUnusedVar","commander","localvar40","command",
"TestUnusedVar","commander","localvar41","command",
"TestUnusedVar","commander","localvar42","command",
"TestUnusedVar","commander","localvar43","command",
"TestUnusedVar","commander","localvar44","command",
"TestUnusedVar","commander","localvar45","command",
"TestUnusedVar","commander","localvar46","command",
