Unique Method Stereotype,Method Count
void-accessor set,2
get set collaborator,1
get controller,1
void-accessor set collaborator,1
get non-void-command,8
get wrapper,11
predicate set collaborator,4
void-accessor command,8
property command collaborator,1
void-accessor collaborator,4
void-accessor command collaborator,16
void-accessor controller,1
property set collaborator,5
destructor,63
predicate collaborator,93
get set,2
wrapper,38
property,97
non-void-command factory collaborator,2
predicate controller,22
command collaborator,728
property wrapper,37
get non-void-command collaborator,11
controller stateless,390
non-void-command factory,1
factory collaborator,1
unclassified,82
command,1191
empty,23
get property collaborator,3
set,68
get property controller,2
constructor,339
wrapper stateless,299
collaborator,64
predicate wrapper,18
predicate non-void-command,45
get collaborator,85
predicate,238
property controller,43
property non-void-command collaborator,101
set collaborator,94
get property non-void-command collaborator,3
get,88
collaborator incidental,46
property non-void-command factory collaborator,1
predicate set,12
property non-void-command,67
property collaborator,238
factory incidental,1
copy-constructor,21
controller,115
incidental,110
predicate non-void-command collaborator,75
Total,5020
