Class Name,Class Stereotype,Method Name,Method Stereotype
"EXTERNMESSAGE","degenerate","operatornew","wrapper stateless",
"EXTERNMESSAGE","degenerate","operatordelete","empty",
"EXTERNMESSAGE","degenerate","operatordelete","empty",
"EXTERNMESSAGE","degenerate","EXTERNMESSAGE::Delete","controller stateless",
"TList","boundary","TList<T>::~TList","destructor",
"TList","boundary","TList<T>::TList","constructor",
"TList","boundary","TList<T>::DeleteAll","command",
"TList","boundary","TList<T>::Head","property non-void-command collaborator",
"TList","boundary","TList<T>::GetLinkFromNode","collaborator incidental",
"TList","boundary","TList<T>::Remove","property controller",
"TList","boundary","TList<T>::Create","property non-void-command factory collaborator",
"TList","boundary","TList<T>::Insert","command collaborator",
"TList","boundary","TList<T>::UnlinkAll","command collaborator",
"TLink","entity boundary","TLink","constructor",
"TLink","entity boundary","~TLink","destructor",
"TLink","entity boundary","IsLinked","predicate",
"TLink","entity boundary","Next","get property collaborator",
"TLink","entity boundary","NextLink","property collaborator",
"TLink","entity boundary","InsertBefore","void-accessor command collaborator",
"TLink","entity boundary","InsertAfter","non-void-command collaborator",
"TLink","entity boundary","TLink<T>::Unlink","command",
"CCritSect","boundary small-class","CCritSect","constructor",
"CCritSect","boundary small-class","~CCritSect","destructor",
"CCritSect","boundary small-class","Enter","wrapper",
"CCritSect","boundary small-class","Leave","wrapper",
