Unique Class Stereotype,Class Count
lazy-class degenerate,1
commander lazy-class small-class,1
commander boundary data-class,1
controller,1
data-provider data-class small-class,3
entity minimal-entity boundary,1
boundary data-class,1
data-provider boundary data-class small-class,3
factory controller small-class,1
boundary data-class small-class,1
data-provider lazy-class degenerate,1
pure-controller degenerate,2
small-class,17
entity boundary lazy-class degenerate,1
entity boundary small-class,18
controller small-class,3
unclassified,74
data-provider small-class,11
commander degenerate,1
lazy-class,2
entity small-class,1
empty,189
commander,21
data-provider boundary small-class,18
boundary degenerate,8
commander boundary,25
commander boundary data-class small-class,5
entity boundary degenerate,2
commander small-class,9
data-class,3
data-provider boundary,28
boundary,35
pure-controller small-class,9
degenerate,9
data-class small-class,1
entity boundary,29
lazy-class small-class,1
boundary degenerate small-class,23
pure-controller degenerate small-class,23
entity commander boundary,10
commander boundary small-class,19
data-provider,23
entity data-provider boundary,13
boundary small-class,16
commander data-class small-class,3
boundary lazy-class,1
degenerate small-class,12
data-provider boundary degenerate,2
Total,682
