Class Name,Class Stereotype,Method Name,Method Stereotype
"idMultiWinVar","commander","idMultiWinVar::Set","command",
"idMultiWinVar","commander","idMultiWinVar::Update","command",
"idMultiWinVar","commander","idMultiWinVar::SetGuiInfo","wrapper stateless",
"idWinBackground","unclassified","idWinBackground","constructor",
"idWinBackground","unclassified","~idWinBackground","destructor",
"idWinBackground","unclassified","Init","set collaborator",
"idWinBackground","unclassified","operator==","property collaborator",
"idWinBackground","unclassified","operator==","property",
"idWinBackground","unclassified","operator=","get set collaborator",
"idWinBackground","unclassified","operator=","property non-void-command",
"idWinBackground","unclassified","operatorconstchar*","unclassified",
"idWinBackground","unclassified","operatorconstidStr&","get",
"idWinBackground","unclassified","Length","property set",
"idWinBackground","unclassified","c_str","property",
"idWinBackground","unclassified","Set","set",
"idWinBackground","unclassified","Update","set",
"idWinBackground","unclassified","Size","property non-void-command",
"idWinBackground","unclassified","SetMaterialPtr","set collaborator",
"idWinBackground","unclassified","WriteToSaveGame","command collaborator",
"idWinBackground","unclassified","ReadFromSaveGame","command collaborator",
"idWinVec3","unclassified","idWinVec3","constructor",
"idWinVec3","unclassified","~idWinVec3","destructor",
"idWinVec3","unclassified","Init","set collaborator",
"idWinVec3","unclassified","operator==","property collaborator",
"idWinVec3","unclassified","operator=","property set",
"idWinVec3","unclassified","operator=","get set collaborator",
"idWinVec3","unclassified","operatorconstidVec3&","get",
"idWinVec3","unclassified","x","get",
"idWinVec3","unclassified","y","get",
"idWinVec3","unclassified","z","get",
"idWinVec3","unclassified","Set","command",
"idWinVec3","unclassified","Update","set",
"idWinVec3","unclassified","c_str","property",
"idWinVec3","unclassified","Zero","command",
"idWinVec3","unclassified","WriteToSaveGame","controller",
"idWinVec3","unclassified","ReadFromSaveGame","controller",
"idWinVec4","unclassified","idWinVec4","constructor",
"idWinVec4","unclassified","~idWinVec4","destructor",
"idWinVec4","unclassified","Init","set collaborator",
"idWinVec4","unclassified","operator==","property collaborator",
"idWinVec4","unclassified","operator=","property set",
"idWinVec4","unclassified","operator=","get set collaborator",
"idWinVec4","unclassified","operatorconstidVec4&","get",
"idWinVec4","unclassified","x","get",
"idWinVec4","unclassified","y","get",
"idWinVec4","unclassified","z","get",
"idWinVec4","unclassified","w","get",
"idWinVec4","unclassified","Set","command",
"idWinVec4","unclassified","Update","set",
"idWinVec4","unclassified","c_str","property",
"idWinVec4","unclassified","Zero","command",
"idWinVec4","unclassified","ToVec3","property collaborator",
"idWinVec4","unclassified","WriteToSaveGame","controller",
"idWinVec4","unclassified","ReadFromSaveGame","controller",
"idWinVec2","unclassified","idWinVec2","constructor",
"idWinVec2","unclassified","~idWinVec2","destructor",
"idWinVec2","unclassified","Init","set collaborator",
"idWinVec2","unclassified","operator==","property collaborator",
"idWinVec2","unclassified","operator=","property set",
"idWinVec2","unclassified","operator=","get set collaborator",
"idWinVec2","unclassified","x","get",
"idWinVec2","unclassified","y","get",
"idWinVec2","unclassified","Set","command",
"idWinVec2","unclassified","operatorconstidVec2&","get",
"idWinVec2","unclassified","Update","set",
"idWinVec2","unclassified","c_str","property",
"idWinVec2","unclassified","Zero","command",
"idWinVec2","unclassified","WriteToSaveGame","controller",
"idWinVec2","unclassified","ReadFromSaveGame","controller",
"idWinRectangle","data-provider","idWinRectangle","constructor",
"idWinRectangle","data-provider","~idWinRectangle","destructor",
"idWinRectangle","data-provider","Init","command collaborator",
"idWinRectangle","data-provider","operator==","property collaborator",
"idWinRectangle","data-provider","operator=","property set",
"idWinRectangle","data-provider","operator=","get set collaborator",
"idWinRectangle","data-provider","operator=","get collaborator",
"idWinRectangle","data-provider","operatorconstidRectangle&","get",
"idWinRectangle","data-provider","x","get",
"idWinRectangle","data-provider","y","get",
"idWinRectangle","data-provider","w","get",
"idWinRectangle","data-provider","h","get",
"idWinRectangle","data-provider","Right","property",
"idWinRectangle","data-provider","Bottom","property",
"idWinRectangle","data-provider","ToVec4","property non-void-command collaborator",
"idWinRectangle","data-provider","Set","command collaborator",
"idWinRectangle","data-provider","Update","command collaborator",
"idWinRectangle","data-provider","c_str","property",
"idWinRectangle","data-provider","WriteToSaveGame","controller",
"idWinRectangle","data-provider","ReadFromSaveGame","controller",
"idWinInt","unclassified","idWinInt","constructor",
"idWinInt","unclassified","~idWinInt","destructor",
"idWinInt","unclassified","Init","set collaborator",
"idWinInt","unclassified","operator=","get set",
"idWinInt","unclassified","operator=","property set",
"idWinInt","unclassified","operatorint","get",
"idWinInt","unclassified","Set","set",
"idWinInt","unclassified","Update","set",
"idWinInt","unclassified","c_str","property wrapper",
"idWinInt","unclassified","WriteToSaveGame","controller",
"idWinInt","unclassified","ReadFromSaveGame","controller",
"idWinInt","unclassified","x","incidental",
"idWinStr","unclassified","idWinStr","constructor",
"idWinStr","unclassified","~idWinStr","destructor",
"idWinStr","unclassified","Init","set collaborator",
"idWinStr","unclassified","operator==","property collaborator",
"idWinStr","unclassified","operator==","property",
"idWinStr","unclassified","operator=","get set collaborator",
