Unique Method Stereotype,Method Count
predicate wrapper,5
get property,2
predicate controller,1
void-accessor controller,1
collaborator,22
predicate collaborator,8
get wrapper,13
get controller,2
get set collaborator,19
property,29
get set,2
wrapper,13
destructor,16
factory collaborator stateless,1
property set collaborator,4
controller stateless,54
constructor,98
get property collaborator,1
set,7
get collaborator,30
void-accessor command collaborator,4
void-accessor set collaborator,1
get property wrapper,1
property controller,2
property non-void-command collaborator,85
set collaborator,5
wrapper stateless,70
command,4
unclassified,10
property collaborator,53
property non-void-command factory collaborator,1
property non-void-command,10
command collaborator,11
property wrapper,42
get non-void-command collaborator,4
collaborator incidental,17
get,15
copy-constructor,13
incidental,14
predicate non-void-command collaborator,19
controller,9
property set,1
factory collaborator incidental,1
property factory collaborator,1
predicate,39
Total,760
