Class Name,Class Stereotype,Method Name,Method Stereotype
"ElectronContentUtilityClient","lazy-class degenerate","ElectronContentUtilityClient::ExposeInterfacesToBrowser","set collaborator"
"ElectronContentUtilityClient","lazy-class degenerate","ElectronContentUtilityClient::RegisterMainThreadServices","controller stateless"
"ElectronContentUtilityClient","lazy-class degenerate","ElectronContentUtilityClient::RegisterIOThreadServices","controller stateless"
"NodeService","commander boundary small-class","NodeService::NodeService","copy-constructor"
"NodeService","commander boundary small-class","NodeService::~NodeService","destructor"
"NodeService","commander boundary small-class","NodeService::Initialize","command collaborator"
"URLLoaderBundle","boundary","URLLoaderBundle::GetInstance","controller stateless"
"URLLoaderBundle","boundary","URLLoaderBundle::SetURLLoaderFactory","command collaborator"
"URLLoaderBundle","boundary","URLLoaderBundle::GetSharedURLLoaderFactory","get collaborator"
"URLLoaderBundle","boundary","URLLoaderBundle::GetHostResolver","property non-void-command collaborator"
"ChromePdfInternalPluginDelegate","pure-controller degenerate small-class","IsAllowedOrigin","controller stateless"
"PepperHelper","pure-controller small-class","PepperHelper::PepperHelper","constructor"
"PepperHelper","pure-controller small-class","PepperHelper::DidCreatePepperPlugin","controller stateless"
"PepperHelper","pure-controller small-class","PepperHelper::OnDestruct","unclassified"
"ElectronRendererPepperHostFactory","entity boundary small-class","ElectronRendererPepperHostFactory::ElectronRendererPepperHostFactory","constructor"
"ElectronRendererPepperHostFactory","entity boundary small-class","ElectronRendererPepperHostFactory::CreateResourceHost","property non-void-command collaborator"
"PepperUMAHost","degenerate","PepperUMAHost","constructor"
"PepperUMAHost","degenerate","OnResourceMessageReceived","collaborator incidental"
"PepperUMAHost","degenerate","OnHistogramCustomTimes","incidental"
"PepperUMAHost","degenerate","OnHistogramCustomCounts","incidental"
"PepperUMAHost","degenerate","OnHistogramEnumeration","incidental"
"PepperUMAHost","degenerate","OnIsCrashReportingEnabled","collaborator incidental"
"AutofillAgent","commander boundary","AutofillAgent::AutofillAgent","constructor"
