Unique Method Stereotype,Method Count
get command collaborator,1
void-accessor controller,1
get,75
collaborator incidental,126
get property non-void-command collaborator,4
predicate,94
property non-void-command factory collaborator,6
property non-void-command,15
predicate set,3
property wrapper,31
get non-void-command collaborator,7
controller,103
incidental,101
get wrapper,8
property command collaborator,1
collaborator stateless,1
set collaborator,105
property non-void-command collaborator,322
property controller,22
controller stateless,335
predicate collaborator,29
get predicate,3
factory wrapper stateless,1
factory collaborator stateless,9
get set factory,1
predicate non-void-command collaborator,87
wrapper,34
destructor,156
get collaborator,96
set,82
get property non-void-command,1
get property collaborator,6
constructor,226
empty,347
unclassified,16
command,419
wrapper stateless,375
predicate non-void-command,41
void-accessor wrapper,1
collaborator,8
command collaborator,703
property,48
property set collaborator,27
property collaborator,150
stateless,1
get set collaborator,1
predicate controller,13
get set,1
get factory collaborator,1
predicate set collaborator,5
predicate wrapper,21
non-void-command collaborator,1
get predicate wrapper,2
factory stateless,1
property factory collaborator,3
void-accessor command,8
factory controller stateless,3
void-accessor command collaborator,5
copy-constructor,18
void-accessor collaborator,1
factory collaborator incidental,4
get property,1
Total,4317
