Unique Method Stereotype,Method Count
get controller,1
property factory controller,1
get set factory collaborator,1
property set collaborator,1
controller stateless,3
predicate collaborator,2
get property,1
non-void-command factory collaborator,3
property set,1
predicate wrapper,1
get set collaborator,1
void-accessor collaborator,3
void-accessor,3
void-accessor command collaborator,5
set,55
constructor,120
empty,32
command,203
unclassified,9
command collaborator,113
destructor,120
wrapper,9
collaborator,9
get collaborator,51
predicate non-void-command,3
property controller,8
set collaborator,44
property non-void-command collaborator,17
controller,9
incidental,20
predicate non-void-command collaborator,15
get non-void-command collaborator,1
property wrapper,16
get,132
collaborator incidental,3
predicate,10
void-accessor wrapper,1
wrapper stateless,8
property,90
void-accessor command,3
property non-void-command factory collaborator,1
property collaborator,48
property non-void-command,27
predicate set,2
Total,1206
