Unique Method Stereotype,Method Count
get controller,3
property set collaborator,1
predicate controller,5
void-accessor controller,5
void-accessor set,1
get wrapper,1
property set,2
get set collaborator,3
predicate,17
predicate non-void-command,9
get property non-void-command,1
property command collaborator,3
command collaborator,67
get collaborator,62
controller stateless,127
property non-void-command,12
property collaborator,125
get set,2
wrapper,13
void-accessor set collaborator,3
get non-void-command,23
destructor,30
predicate collaborator,9
get non-void-command collaborator,7
property wrapper,115
void-accessor wrapper,1
wrapper stateless,151
void-accessor command,25
command,85
unclassified,9
empty,13
constructor,276
get property collaborator,1
set,31
property,62
predicate set collaborator,1
void-accessor,2
void-accessor command collaborator,41
void-accessor collaborator,5
predicate non-void-command collaborator,7
incidental,72
copy-constructor,38
controller,16
property controller,54
property non-void-command collaborator,219
set collaborator,18
predicate wrapper,2
non-void-command collaborator,9
collaborator,16
get property non-void-command collaborator,1
collaborator incidental,129
get,30
Total,1960
