Class Name,Class Stereotype,Method Name,Method Stereotype
"UserDefinedClass","degenerate small-class","operator==","incidental",
"CapturedStream","unclassified","CapturedStream","constructor",
"CapturedStream","unclassified","Capture","command collaborator",
"CapturedStream","unclassified","StopCapture","command",
"CapturedStream","unclassified","filename","get",
"LogMessageTime","data-provider","when","get collaborator",
"LogMessageTime","data-provider","sec","get",
"LogMessageTime","data-provider","usec","property",
"LogMessageTime","data-provider","min","get",
"LogMessageTime","data-provider","hour","get",
"LogMessageTime","data-provider","day","get",
"LogMessageTime","data-provider","month","get",
"LogMessageTime","data-provider","year","get",
"LogMessageTime","data-provider","dayOfWeek","get",
"LogMessageTime","data-provider","dayInYear","get",
"LogMessageTime","data-provider","dst","get",
"LogMessageTime","data-provider","gmtoffset","get collaborator",
"LogMessageTime","data-provider","tm","get collaborator",
"LogMessageTime","data-provider","LogMessageTime::LogMessageTime","constructor",
"NullStreamFatal","empty","NullStreamFatal::~NullStreamFatal","destructor",
"NullStream","data-provider data-class small-class","NullStream::NullStream","constructor",
"NullStream","data-provider data-class small-class","NullStream::NullStream","constructor",
"NullStream","data-provider data-class small-class","NullStream::stream","get",
"PrefixFormatter","data-provider boundary small-class","PrefixFormatter","copy-constructor",
"PrefixFormatter","data-provider boundary small-class","operator()","void-accessor wrapper",
"LogSink","pure-controller degenerate small-class","LogSink::WaitTillSent","empty",
"LogSink","pure-controller degenerate small-class","LogSink::ToString","controller stateless",
"CheckOpString","boundary small-class","CheckOpString","constructor",
"CheckOpString","boundary small-class","operatorbool","wrapper",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","copy-constructor",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","constructor",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","constructor",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","constructor",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","constructor",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","constructor",
"LogMessage","entity data-provider boundary","LogMessage::LogMessage","constructor",
"LogMessage","entity data-provider boundary","LogMessage::Init","void-accessor command collaborator",
"LogMessage","entity data-provider boundary","LogMessage::severity","get collaborator",
"LogMessage","entity data-provider boundary","LogMessage::line","get",
"LogMessage","entity data-provider boundary","LogMessage::thread_id","get collaborator",
"LogMessage","entity data-provider boundary","LogMessage::fullname","get",
"LogMessage","entity data-provider boundary","LogMessage::basename","get",
"LogMessage","entity data-provider boundary","LogMessage::time","get collaborator",
"LogMessage","entity data-provider boundary","LogMessage::~LogMessage","destructor",
"LogMessage","entity data-provider boundary","LogMessage::preserved_errno","get",
"LogMessage","entity data-provider boundary","LogMessage::stream","get collaborator",
"LogMessage","entity data-provider boundary","LogMessage::Flush","command collaborator",
"LogMessage","entity data-provider boundary","LogMessage::Fail","wrapper stateless",
"LogMessage","entity data-provider boundary","LogMessage::num_messages","get collaborator",
"GoogleInitializer","empty","GoogleInitializer","constructor",
"ErrnoLogMessage","empty","ErrnoLogMessage::ErrnoLogMessage","constructor",
"ErrnoLogMessage","empty","ErrnoLogMessage::~ErrnoLogMessage","destructor",
"LogCleaner","unclassified","enabled","get",
"LogCleaner","unclassified","LogCleaner::Enable","command collaborator",
"LogCleaner","unclassified","LogCleaner::Disable","set",
"LogCleaner","unclassified","LogCleaner::Run","void-accessor set",
"LogCleaner","unclassified","LogCleaner::GetOverdueLogNames","property",
"LogCleaner","unclassified","LogCleaner::IsLogFromCurrentProject","controller stateless",
