Unique Method Stereotype,Method Count
predicate,1
predicate non-void-command collaborator,1
property wrapper,2
get wrapper,1
get set collaborator,1
collaborator incidental,3
set collaborator,4
predicate non-void-command,4
property non-void-command collaborator,3
predicate controller,1
wrapper stateless,4
controller stateless,2
property collaborator,3
set,3
constructor,37
command collaborator,17
unclassified,1
command,25
empty,3
get,6
incidental,3
get collaborator,9
property,18
property non-void-command,2
copy-constructor,3
get non-void-command,2
destructor,16
wrapper,3
Total,178
