Unique Method Stereotype,Method Count
property set,2
property set collaborator,6
property wrapper,4
command collaborator,20
destructor,2
predicate collaborator,18
get set,5
wrapper,1
property collaborator,8
controller stateless,5
unclassified,2
command,9
constructor,32
set,11
get wrapper,1
collaborator incidental,3
get,11
predicate,6
void-accessor set collaborator,2
wrapper stateless,2
property,3
get collaborator,29
property controller,2
set collaborator,2
predicate non-void-command,1
predicate wrapper,1
void-accessor command,1
void-accessor command collaborator,22
void-accessor,1
void-accessor collaborator,3
incidental,5
predicate non-void-command collaborator,4
controller,2
Total,226
