Unique Method Stereotype,Method Count
void-accessor collaborator,2
predicate collaborator,1
collaborator,3
void-accessor command,2
get wrapper,15
controller stateless,17
command collaborator,3
wrapper stateless,77
get set,12
wrapper,14
destructor,4
property set collaborator,3
property,20
constructor,50
set,11
get collaborator,33
empty,10
command,11
get non-void-command collaborator,2
property wrapper,70
property non-void-command collaborator,32
property controller,9
set collaborator,13
predicate controller,1
collaborator incidental,6
get,35
predicate wrapper,6
non-void-command collaborator,11
predicate non-void-command collaborator,1
copy-constructor,1
incidental,75
controller,3
property collaborator,23
property non-void-command,46
get set collaborator,2
Total,624
