Unique Class Stereotype,Class Count
pure-controller small-class,1
controller degenerate,1
entity data-provider boundary,1
data-provider data-class,2
data-provider boundary data-class small-class,1
data-provider lazy-class,1
data-provider boundary,7
data-provider,9
boundary data-class,1
data-provider small-class,11
degenerate small-class,2
commander boundary data-class small-class,1
boundary lazy-class,1
entity boundary,7
commander small-class,1
pure-controller degenerate,1
boundary,12
data-provider boundary small-class,6
commander,1
empty,244
unclassified,16
entity boundary small-class,1
small-class,6
commander boundary,1
boundary degenerate,5
degenerate,4
entity commander boundary,1
boundary degenerate small-class,4
pure-controller degenerate small-class,1
Total,350
