Class Name,Class Stereotype,Method Name,Method Stereotype
"Filters","entity boundary small-class","Filters","constructor",
"Filters","entity boundary small-class","operator=","property non-void-command collaborator",
"CDataBlob","unclassified","CDataBlob","constructor",
"CDataBlob","unclassified","CDataBlob","constructor",
"CDataBlob","unclassified","~CDataBlob","destructor",
"CDataBlob","unclassified","CDataBlob","copy-constructor",
"CDataBlob","unclassified","operator=","controller stateless",
"CDataBlob","unclassified","setNULL","command",
"CDataBlob","unclassified","setZero","wrapper",
"CDataBlob","unclassified","isEmpty","predicate",
"CDataBlob","unclassified","create","predicate non-void-command",
"CDataBlob","unclassified","ptr","property wrapper",
"CDataBlob","unclassified","ptr","property wrapper",
"CDataBlob","unclassified","getElement","property controller",
"CDataBlob","unclassified","operator<<","controller stateless",
