Unique Method Stereotype,Method Count
non-void-command collaborator,2
get non-void-command,2
controller,40
incidental,106
predicate set,2
property non-void-command,40
void-accessor command collaborator,5
copy-constructor,6
void-accessor collaborator,8
get property non-void-command collaborator,7
get,77
collaborator incidental,82
property controller,28
set collaborator,38
property non-void-command collaborator,206
get collaborator,78
set,41
get property collaborator,6
constructor,203
property set collaborator,13
property collaborator,103
stateless,1
destructor,119
predicate non-void-command collaborator,76
wrapper,30
get set,2
empty,39
get property controller,2
factory controller,1
predicate,83
wrapper stateless,108
property wrapper,38
get non-void-command collaborator,3
command collaborator,251
property,67
predicate set collaborator,4
predicate wrapper,6
void-accessor wrapper,1
predicate non-void-command,22
collaborator,72
predicate controller,8
controller stateless,159
non-void-command factory collaborator,4
void-accessor,1
predicate collaborator,35
unclassified,4
property factory collaborator,4
command,135
property factory wrapper,3
factory wrapper,1
void-accessor command,4
factory controller stateless,4
factory collaborator stateless,2
collaborator stateless,2
get set collaborator,3
void-accessor controller,3
property factory controller,1
get set factory collaborator,1
get property,4
get property set collaborator,2
property set,1
Total,2399
