Unique Class Stereotype,Class Count
pure-controller degenerate,1
lazy-class degenerate,1
boundary data-class small-class,2
controller,1
data-provider boundary data-class,1
factory degenerate small-class,2
commander degenerate,1
data-provider boundary data-class small-class,6
commander boundary,3
boundary degenerate,9
commander small-class,29
data-provider data-class small-class,5
data-provider,17
boundary degenerate small-class,43
unclassified,26
controller small-class,6
data-provider boundary,16
commander boundary data-class,1
data-class small-class,4
entity boundary,47
factory controller small-class,16
data-provider boundary degenerate,1
commander boundary small-class,10
empty,550
commander,27
data-provider boundary small-class,8
pure-controller small-class,1
degenerate,9
boundary,28
boundary lazy-class,1
degenerate small-class,12
entity boundary small-class,52
small-class,21
boundary data-class,2
minimal-entity boundary,2
entity data-provider boundary,8
data-provider small-class,5
entity minimal-entity boundary,1
entity commander boundary,14
pure-controller degenerate small-class,6
data-provider data-class,2
boundary small-class,63
commander data-class small-class,5
Total,1065
