Unique Method Stereotype,Method Count
factory wrapper,1
factory collaborator incidental,1
get set collaborator,3
property factory collaborator,6
factory wrapper stateless,2
collaborator incidental,44
get,111
incidental,45
controller,29
property non-void-command,73
predicate set,1
property non-void-command factory collaborator,17
predicate,87
property wrapper,66
get non-void-command collaborator,13
set,135
property set,28
constructor,530
empty,62
factory controller,7
unclassified,11
property factory wrapper,1
command,339
property controller,10
property non-void-command collaborator,90
command collaborator,489
property,71
wrapper stateless,185
set collaborator,122
non-void-command,2
predicate non-void-command collaborator,21
wrapper,116
get set,11
destructor,167
get property,3
factory collaborator stateless,14
collaborator stateless,1
property command collaborator,5
property collaborator,191
stateless,1
property set collaborator,13
predicate collaborator,19
void-accessor,3
void-accessor command collaborator,18
copy-constructor,48
void-accessor collaborator,4
get wrapper,28
get controller,4
get collaborator,236
predicate set collaborator,4
collaborator,28
get non-void-command,34
non-void-command collaborator,3
predicate wrapper,14
property factory,2
void-accessor wrapper,10
predicate non-void-command,14
predicate controller,18
controller stateless,59
non-void-command factory collaborator,2
void-accessor command,9
factory controller stateless,1
get set factory collaborator,1
property factory controller,23
void-accessor controller,9
void-accessor set collaborator,1
get property collaborator,4
get property non-void-command,1
Total,3721
