Unique Class Stereotype,Class Count
commander lazy-class degenerate,1
commander boundary data-class,1
entity minimal-entity boundary,3
data-provider boundary data-class,1
boundary degenerate,6
data-provider boundary lazy-class,1
commander data-class small-class,2
boundary small-class,2
data-provider data-class small-class,1
commander lazy-class,1
controller degenerate,1
boundary lazy-class degenerate,1
boundary data-class small-class,1
data-provider lazy-class degenerate,1
data-provider boundary data-class small-class,2
commander degenerate,3
entity data-provider boundary small-class,1
data-class,2
small-class,15
entity boundary small-class,33
controller small-class,1
unclassified,79
data-provider boundary,20
data-provider boundary small-class,19
empty,113
commander,102
commander boundary small-class,9
data-class small-class,2
entity boundary,91
entity minimal-entity commander boundary,2
commander boundary,48
factory pure-controller degenerate small-class,1
controller,1
entity boundary data-class small-class,1
pure-controller degenerate small-class,14
entity commander boundary,12
boundary degenerate small-class,14
pure-controller degenerate,3
entity data-provider boundary,14
data-provider,8
data-provider small-class,5
boundary data-class,1
minimal-entity boundary,2
boundary,84
degenerate,14
pure-controller small-class,3
controller lazy-class degenerate,2
commander boundary degenerate,2
entity boundary degenerate,2
commander boundary data-class small-class,2
commander small-class,17
boundary lazy-class,1
degenerate small-class,4
Total,772
