Unique Method Stereotype,Method Count
property non-void-command factory,1
get predicate wrapper,2
factory,2
factory controller,5
get property set,1
get property non-void-command collaborator,8
get set collaborator,3590
predicate set,18
property collaborator,1441
property non-void-command factory collaborator,43
property non-void-command,147
incidental,163
get predicate non-void-command collaborator,3
property set,6
constructor,863
predicate wrapper,71
property factory,18
predicate,1349
factory wrapper stateless,3
get predicate,2
command,781
unclassified,967
controller,677
factory collaborator,4
get,496
collaborator incidental,148
wrapper stateless,1069
predicate non-void-command,127
void-accessor wrapper,18
predicate set collaborator,24
command collaborator,769
property,376
property set collaborator,15
get set,53
predicate non-void-command collaborator,207
wrapper,295
factory collaborator stateless,44
destructor,338
non-void-command collaborator,8
get non-void-command,22
get property wrapper,8
property wrapper,1157
get non-void-command collaborator,222
set collaborator,169
property non-void-command collaborator,514
property controller,812
void-accessor command collaborator,73
predicate collaborator,144
void-accessor,22
copy-constructor,1064
void-accessor collaborator,20
set,316
get property non-void-command,10
get property collaborator,15
controller stateless,218
non-void-command factory collaborator,11
predicate controller,794
get collaborator,471
get controller,7
get property,4
empty,110
factory controller stateless,23
void-accessor command,18
property command collaborator,6
property factory collaborator,31
void-accessor controller,3
property factory controller,2
collaborator,287
get wrapper,33
Total,20738
