Class Name,Class Stereotype,Method Name,Method Stereotype
"Worker","commander boundary","Worker::Worker","constructor",
"Worker","commander boundary","Worker::~Worker","destructor",
"Worker","commander boundary","Worker::addStream","command collaborator",
"Worker","commander boundary","Worker::stop","collaborator",
"Worker","commander boundary","Worker::threadFunction","command collaborator",
"Timer","data-provider lazy-class","~Timer","destructor",
"Timer","data-provider lazy-class","Timer::Timer","constructor",
"Timer","data-provider lazy-class","Timer::step","get non-void-command",
"Timer","data-provider lazy-class","Timer::sleep","wrapper stateless",
"Timer","data-provider lazy-class","Timer::getDelta","get",
"Timer","data-provider lazy-class","Timer::getFPS","get",
"Timer","data-provider lazy-class","Timer::getAverageDelta","get",
"Timer","data-provider lazy-class","Timer::getTime","wrapper stateless",
"Timer","data-provider lazy-class","Timer::getTime","wrapper stateless",
"Timer","data-provider lazy-class","Timer::getTime","wrapper stateless",
"Threadable","unclassified","Threadable::Threadable","constructor",
"Threadable","unclassified","Threadable::~Threadable","destructor",
"Threadable","unclassified","Threadable::start","predicate non-void-command",
"Threadable","unclassified","Threadable::wait","command",
"Threadable","unclassified","Threadable::isRunning","predicate",
"Threadable","unclassified","Threadable::getThreadName","property",
"Lock","empty","Lock::Lock","constructor",
"Lock","empty","Lock::Lock","constructor",
"Lock","empty","Lock::Lock","copy-constructor",
"Lock","empty","Lock::~Lock","destructor",
"Conditional","data-provider boundary","Conditional::Conditional","constructor",
"Conditional","data-provider boundary","Conditional::~Conditional","destructor",
"Conditional","data-provider boundary","Conditional::signal","wrapper",
"Conditional","data-provider boundary","Conditional::broadcast","wrapper",
"Conditional","data-provider boundary","Conditional::wait","predicate wrapper",
"Mutex","boundary small-class","Mutex","copy-constructor",
"Mutex","boundary small-class","Mutex::Mutex","constructor",
"Mutex","boundary small-class","Mutex::~Mutex","destructor",
"Mutex","boundary small-class","Mutex::lock","wrapper",
"Mutex","boundary small-class","Mutex::unlock","wrapper",
"ThreadModule","entity factory controller degenerate","~ThreadModule","destructor",
"ThreadModule","entity factory controller degenerate","ThreadModule::ThreadModule","constructor",
"ThreadModule","entity factory controller degenerate","ThreadModule::newThread","factory wrapper stateless",
"ThreadModule","entity factory controller degenerate","ThreadModule::newChannel","factory wrapper stateless",
"ThreadModule","entity factory controller degenerate","ThreadModule::getChannel","property non-void-command factory collaborator",
"Thread","degenerate","~Thread","destructor",
"Thread","degenerate","Thread::Thread","copy-constructor",
"Thread","degenerate","Thread::~Thread","destructor",
"Thread","degenerate","Thread::start","controller stateless",
"Thread","degenerate","Thread::wait","wrapper stateless",
"Thread","degenerate","Thread::isRunning","collaborator incidental",
"Thread","degenerate","Thread::thread_runner","controller stateless",
"System","boundary degenerate","~System","destructor",
"System","boundary degenerate","System::System","constructor",
"System","boundary degenerate","System::getOS","wrapper stateless",
"System","boundary degenerate","System::openURL","controller stateless",
