Unique Method Stereotype,Method Count
non-void-command,1
void-accessor controller,2
property,3
predicate set collaborator,3
factory controller,1
empty,200
property command collaborator,17
get set collaborator,168
get controller,163
predicate non-void-command,9
predicate controller,8
factory wrapper,2
collaborator,156
predicate collaborator,48
void-accessor collaborator,1
void-accessor command collaborator,12
destructor,42
get set,3
wrapper,99
void-accessor set collaborator,1
get property wrapper,2
get non-void-command,10
property set collaborator,67
controller stateless,3427
predicate,53
command collaborator,843
property controller,31
property non-void-command collaborator,613
set collaborator,35
get property collaborator,3
set,58
constructor,1261
command,170
unclassified,44
get non-void-command collaborator,352
property wrapper,121
predicate wrapper,21
non-void-command collaborator,183
wrapper stateless,1768
property non-void-command,9
property collaborator,425
predicate set,1
get collaborator,603
get wrapper,166
get,110
collaborator incidental,437
get property non-void-command collaborator,1
get command collaborator,2
incidental,85
predicate non-void-command collaborator,57
copy-constructor,176
controller,64
Total,12137
