Unique Class Stereotype,Class Count
controller data-class small-class,1
boundary degenerate,2
entity data-provider boundary,1
data-provider boundary degenerate,5
lazy-class degenerate,2
boundary lazy-class degenerate,5
data-provider,6
boundary degenerate small-class,7
commander boundary small-class,3
commander degenerate,1
lazy-class,1
data-provider boundary,7
data-provider lazy-class,1
data-class small-class,1
entity boundary,18
controller small-class,1
unclassified,40
data-provider lazy-class degenerate,1
commander boundary,4
controller,2
small-class,6
entity boundary small-class,2
data-provider small-class,5
data-provider lazy-class small-class,1
empty,112
commander,4
data-provider boundary small-class,7
boundary lazy-class,1
degenerate small-class,3
entity commander boundary,3
pure-controller degenerate small-class,2
data-provider boundary lazy-class,1
commander data-class small-class,1
data-provider data-class,1
boundary,40
pure-controller small-class,1
degenerate,7
Total,306
