Unique Method Stereotype,Method Count
get predicate set collaborator,1
get predicate set,3
get non-void-command factory collaborator,1
void-accessor set,2
get property wrapper,2
get property,1
property factory,23
get property non-void-command collaborator,13
collaborator incidental,330
get,272
predicate controller,40
factory collaborator incidental,1
property set,21
factory collaborator,1
controller,123
incidental,351
get predicate non-void-command collaborator,1
property collaborator,526
property non-void-command,234
predicate set,16
property non-void-command factory collaborator,15
predicate,115
set collaborator,212
property controller,88
property non-void-command collaborator,518
wrapper stateless,692
non-void-command factory collaborator,6
controller stateless,790
void-accessor set collaborator,4
get property non-void-command,3
get property collaborator,10
set,346
get controller,10
get collaborator,399
constructor,1155
unclassified,62
predicate non-void-command collaborator,352
wrapper,127
get factory collaborator,1
get predicate non-void-command,2
get set,13
destructor,510
get non-void-command collaborator,90
property wrapper,139
property,158
command collaborator,1465
void-accessor wrapper,7
predicate non-void-command,189
copy-constructor,61
void-accessor collaborator,16
void-accessor command collaborator,119
get set factory collaborator,2
void-accessor controller,21
property factory controller,3
get property set collaborator,1
non-void-command collaborator,17
get non-void-command,49
predicate wrapper,21
void-accessor,23
predicate collaborator,95
factory wrapper stateless,4
factory wrapper,1
predicate set collaborator,11
get wrapper,9
factory collaborator stateless,3
property factory collaborator,34
command,1157
property factory wrapper,2
property set factory collaborator,1
empty,118
factory controller stateless,3
void-accessor command,25
property set collaborator,9
get set collaborator,10
set factory collaborator,1
collaborator,58
Total,11314
