Class Name,Class Stereotype,Method Name,Method Stereotype
"PyFileWriter","boundary degenerate","PyFileWriter","constructor",
"PyFileWriter","boundary degenerate","~PyFileWriter","destructor",
"PyFileWriter","boundary degenerate","is_open","predicate collaborator",
"PyFileWriter","boundary degenerate","good","predicate collaborator",
"PyFileWriter","boundary degenerate","tell","wrapper stateless",
"PyFileWriter","boundary degenerate","seek","wrapper stateless",
"PyFileWriter","boundary degenerate","write","controller stateless",
"PyFileWriter","boundary degenerate","label","incidental",
"buffer_info","small-class","buffer_info","constructor",
"buffer_info","small-class","buffer_info","copy-constructor",
"buffer_info","small-class","operator=","property non-void-command",
"ArrayPythonIterator","small-class","ArrayPythonIterator","constructor",
"ArrayPythonIterator","small-class","next","unclassified",
"StreamContext","empty","StreamContext","constructor",
"StreamContext","empty","~StreamContext","destructor",
"_MLX_Float16","boundary","operator=","property set collaborator",
"_MLX_Float16","boundary","operator=","wrapper stateless",
"_MLX_Float16","boundary","_MLX_Float16","constructor",
"_MLX_Float16","boundary","operatorfloat","wrapper",
"complex128_t","boundary degenerate small-class","complex128_t","constructor",
"complex128_t","boundary degenerate small-class","complex128_t","constructor",
"complex128_t","boundary degenerate small-class","complex128_t","constructor",
"complex128_t","boundary degenerate small-class","operatorfloat","wrapper stateless",
"Synchronizer","degenerate small-class","Synchronizer","constructor",
"Synchronizer","degenerate small-class","eval_cpu","empty",
"Synchronizer","degenerate small-class","eval_gpu","empty",
"Scheduler","entity boundary","Scheduler","constructor",
"Scheduler","entity boundary","new_stream","property non-void-command collaborator",
"Scheduler","entity boundary","get_default_stream","property collaborator",
"Scheduler","entity boundary","set_default_stream","command collaborator",
"Scheduler","entity boundary","notify_new_task","set collaborator",
"Scheduler","entity boundary","notify_task_completion","set collaborator",
"Scheduler","entity boundary","n_active_tasks","get",
"Scheduler","entity boundary","wait_for_one","command",
"Scheduler","entity boundary","~Scheduler","destructor",
"Scheduler","entity boundary","Scheduler::enqueue","wrapper",
"PrintFormatter","degenerate","PrintFormatter::print","unclassified",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","collaborator incidental",
"PrintFormatter","degenerate","PrintFormatter::print","collaborator incidental",
"PrintFormatter","degenerate","PrintFormatter::print","incidental",
"PrintFormatter","degenerate","PrintFormatter::print","collaborator incidental",
"StreamThread","commander boundary small-class","StreamThread","constructor",
"StreamThread","commander boundary small-class","~StreamThread","destructor",
"StreamThread","commander boundary small-class","thread_fn","command collaborator",
"StreamThread","commander boundary small-class","enqueue","command collaborator",
"Inverse","boundary degenerate","Inverse","constructor",
"Inverse","boundary degenerate","Inverse::eval","wrapper stateless",
"Inverse","boundary degenerate","Inverse::eval_gpu","wrapper stateless",
"Inverse","boundary degenerate","Inverse::vmap","wrapper stateless",
"SVD","boundary degenerate","SVD","constructor",
"SVD","boundary degenerate","SVD::eval","wrapper stateless",
"SVD","boundary degenerate","SVD::eval_gpu","wrapper stateless",
"SVD","boundary degenerate","SVD::vmap","wrapper stateless",
"QRF","boundary degenerate small-class","QRF","constructor",
"QRF","boundary degenerate small-class","QRF::eval","wrapper stateless",
"QRF","boundary degenerate small-class","QRF::eval_gpu","wrapper stateless",
"View","degenerate","View","constructor",
"View","degenerate","View::eval_cpu","controller stateless",
"View","degenerate","View::eval_gpu","controller stateless",
"View","degenerate","View::vmap","controller stateless",
"View","degenerate","View::print","collaborator",
"View","degenerate","View::is_equivalent","predicate collaborator",
"Uniform","empty","Uniform","constructor",
"Split","unclassified","Split","constructor",
"Split","unclassified","Split::eval","command",
"Split","unclassified","Split::eval_gpu","command",
"Split","unclassified","Split::vmap","property",
"Split","unclassified","Split::vjp","incidental",
"Split","unclassified","Split::jvp","property wrapper",
"Split","unclassified","Split::is_equivalent","predicate collaborator",
"Sort","unclassified","Sort","constructor",
"Sort","unclassified","Sort::eval","controller",
"Sort","unclassified","Sort::eval_gpu","controller",
"Sort","unclassified","Sort::vmap","property controller",
"Sort","unclassified","Sort::vjp","property non-void-command",
"Sort","unclassified","Sort::jvp","property controller",
"Sort","unclassified","Sort::is_equivalent","predicate collaborator",
"Exp","degenerate","operator()","wrapper stateless",
"Exp","degenerate","operator()","wrapper stateless",
"Exp","degenerate","Exp::eval","controller stateless",
"Exp","degenerate","Exp::vjp","incidental",
"Exp","degenerate","Exp::jvp","controller stateless",
"Exp","degenerate","Exp::vmap","controller stateless",
"Conv2DInputBlockLoaderSmallChannels","commander boundary small-class","Conv2DInputBlockLoaderSmallChannels","constructor",
"Conv2DInputBlockLoaderSmallChannels","commander boundary small-class","load_unsafe","non-void-command collaborator",
"Conv2DInputBlockLoaderSmallChannels","commander boundary small-class","next","set collaborator",
"ReductionPlan","empty","ReductionPlan","constructor",
"ReductionPlan","empty","ReductionPlan","constructor",
"OrReduce","degenerate small-class","operator()","collaborator incidental",
"OrReduce","degenerate small-class","operator()","incidental",
"BitwiseOr","boundary degenerate small-class","operator()","collaborator incidental",
"cndarr","data-provider boundary small-class","cndarr","constructor",
"cndarr","data-provider boundary small-class","operator[]","property collaborator",
"BitwiseAnd","boundary degenerate small-class","operator()","collaborator incidental",
"LogicalAnd","degenerate","operator()","collaborator incidental",
"LogicalAnd","degenerate","LogicalAnd::eval","controller stateless",
"LogicalAnd","degenerate","LogicalAnd::vjp","controller stateless",
"LogicalAnd","degenerate","LogicalAnd::jvp","controller stateless",
"LogicalAnd","degenerate","LogicalAnd::vmap","controller stateless",
"LessEqual","degenerate","operator()","collaborator incidental",
"LessEqual","degenerate","LessEqual::eval","controller stateless",
"LessEqual","degenerate","LessEqual::vmap","wrapper stateless",
"LessEqual","degenerate","LessEqual::vjp","controller stateless",
"LessEqual","degenerate","LessEqual::jvp","wrapper stateless",
"PyFileReader","boundary degenerate","PyFileReader","constructor",
"PyFileReader","boundary degenerate","~PyFileReader","destructor",
"PyFileReader","boundary degenerate","is_open","predicate collaborator",
"PyFileReader","boundary degenerate","good","predicate collaborator",
"PyFileReader","boundary degenerate","tell","wrapper stateless",
"PyFileReader","boundary degenerate","seek","wrapper stateless",
"PyFileReader","boundary degenerate","read","controller stateless",
"PyFileReader","boundary degenerate","label","incidental",
"InTracing","empty","InTracing","constructor",
"InTracing","empty","~InTracing","destructor",
"Power","degenerate","operator()","wrapper stateless",
"Power","degenerate","operator()","collaborator incidental",
"Power","degenerate","Power::eval","controller stateless",
"Power","degenerate","Power::vjp","controller stateless",
"Power","degenerate","Power::jvp","property non-void-command collaborator",
"Power","degenerate","Power::vmap","wrapper stateless",
"AddMM","unclassified","AddMM","constructor",
"AddMM","unclassified","AddMM::eval_cpu","controller",
"AddMM","unclassified","AddMM::eval_cpu","controller",
"AddMM","unclassified","AddMM::eval_gpu","controller stateless",
"AddMM","unclassified","AddMM::vjp","property controller",
"AddMM","unclassified","AddMM::is_equivalent","predicate collaborator",
"AddMM","unclassified","AddMM::vmap","wrapper stateless",
"NotEqual","degenerate","operator()","collaborator incidental",
"NotEqual","degenerate","NotEqual::eval","controller stateless",
"NotEqual","degenerate","NotEqual::vmap","wrapper stateless",
"NotEqual","degenerate","NotEqual::vjp","controller stateless",
"NotEqual","degenerate","NotEqual::jvp","wrapper stateless",
"Negative","degenerate","operator()","collaborator incidental",
"Negative","degenerate","Negative::eval","controller stateless",
"Negative","degenerate","Negative::vjp","property non-void-command",
"Negative","degenerate","Negative::jvp","controller stateless",
"Negative","degenerate","Negative::vmap","controller stateless",
"FFT","unclassified","FFT","constructor",
"FFT","unclassified","FFT::eval","command collaborator",
"FFT","unclassified","FFT::eval_gpu","command",
"FFT","unclassified","FFT::is_equivalent","predicate collaborator",
"FFT","unclassified","FFT::vmap","property controller",
"FFT","unclassified","FFT::vjp","property non-void-command collaborator",
"FFT","unclassified","FFT::jvp","property controller",
"ndarr","boundary degenerate small-class","ndarr","constructor",
"ndarr","boundary degenerate small-class","operator[]","collaborator incidental",
"Greater","degenerate","operator()","collaborator incidental",
"Greater","degenerate","Greater::eval","controller stateless",
"Greater","degenerate","Greater::vmap","wrapper stateless",
"Greater","degenerate","Greater::vjp","controller stateless",
"Greater","degenerate","Greater::jvp","wrapper stateless",
"NaNEqual","boundary degenerate small-class","operator()","wrapper stateless",
"DefaultContiguousScan","data-provider boundary small-class","DefaultContiguousScan","constructor",
"DefaultContiguousScan","data-provider boundary small-class","operator()","void-accessor wrapper",
"Remainder","degenerate","operator()","collaborator incidental",
"Remainder","degenerate","operator()","collaborator incidental",
"Remainder","degenerate","operator()","wrapper stateless",
"Remainder","degenerate","operator()","collaborator incidental",
"Remainder","degenerate","Remainder::eval","controller stateless",
"Remainder","degenerate","Remainder::vjp","controller stateless",
"Remainder","degenerate","Remainder::jvp","controller stateless",
"Remainder","degenerate","Remainder::vmap","wrapper stateless",
"Add","degenerate","operator()","collaborator incidental",
"Add","degenerate","Add::eval_cpu","controller stateless",
"Add","degenerate","Add::eval","controller stateless",
"Add","degenerate","Add::jvp","controller stateless",
"Add","degenerate","Add::vjp","controller stateless",
"Add","degenerate","Add::vmap","wrapper stateless",
"T_dct1","data-provider small-class","T_dct1","constructor",
"T_dct1","data-provider small-class","exec","collaborator",
"T_dct1","data-provider small-class","length","property",
"Tan","degenerate","operator()","wrapper stateless",
"Tan","degenerate","Tan::eval","controller stateless",
"Tan","degenerate","Tan::vjp","property non-void-command",
"Tan","degenerate","Tan::jvp","controller stateless",
"Tan","degenerate","Tan::vmap","controller stateless",
"Rsqrt","boundary degenerate small-class","operator()","wrapper stateless",
"Conv2DInputBlockLoaderLargeFilter","commander boundary small-class","Conv2DInputBlockLoaderLargeFilter","constructor",
"Conv2DInputBlockLoaderLargeFilter","commander boundary small-class","load_unsafe","set collaborator",
"Conv2DInputBlockLoaderLargeFilter","commander boundary small-class","next","non-void-command collaborator",
"Sqrt","degenerate","operator()","wrapper stateless",
