Class Name,Class Stereotype,Method Name,Method Stereotype
"BufferWorkQueue","commander","BufferWorkQueue","constructor",
"BufferWorkQueue","commander","push","command collaborator",
"BufferWorkQueue","commander","pop","predicate non-void-command collaborator",
"BufferWorkQueue","commander","setMaxSize","command",
"BufferWorkQueue","commander","finish","command",
"BufferWorkQueue","commander","size","property non-void-command",
"ThreadPool","commander boundary small-class","ThreadPool","constructor",
"ThreadPool","commander boundary small-class","~ThreadPool","destructor",
"ThreadPool","commander boundary small-class","add","command collaborator",
"Options","entity data-provider boundary","Options","constructor",
"Options","entity data-provider boundary","determineParameters","property wrapper",
"Options","entity data-provider boundary","Options::Options","constructor",
"Options","entity data-provider boundary","Options::parse","property non-void-command collaborator",
"Options","entity data-provider boundary","Options::getOutputFile","get property",
"Logger","data-provider boundary","Logger","constructor",
"Logger","data-provider boundary","logsAt","predicate",
"Logger","data-provider boundary","operator()","void-accessor wrapper",
"Logger","data-provider boundary","update","void-accessor set collaborator",
"Logger","data-provider boundary","clear","wrapper",
"gzomanip2","empty","gzomanip2<T1,T2>::gzomanip2","constructor",
"zstringlen","degenerate small-class","value","incidental",
"zstringlen","degenerate small-class","zstringlen::zstringlen","constructor",
"zstringlen","degenerate small-class","zstringlen::zstringlen","constructor",
"gzomanip","empty","gzomanip","constructor",
"gzfilestream_common","unclassified","gzfilestream_common::gzfilestream_common","constructor",
"gzfilestream_common","unclassified","gzfilestream_common::~gzfilestream_common","destructor",
"gzfilestream_common","unclassified","gzfilestream_common::attach","command",
"gzfilestream_common","unclassified","gzfilestream_common::open","void-accessor command",
"gzfilestream_common","unclassified","gzfilestream_common::close","command",
"gzfilestream_common","unclassified","gzfilestream_common::rdbuf","property collaborator",
"gzfilebuf","data-provider boundary","is_open","property",
"gzfilebuf","data-provider boundary","is_open","predicate",
"gzfilebuf","data-provider boundary","gzfilebuf::gzfilebuf","constructor",
"gzfilebuf","data-provider boundary","gzfilebuf::~gzfilebuf","destructor",
"gzfilebuf","data-provider boundary","gzfilebuf::open","get property non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::attach","get property non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::close","get non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::setcompressionlevel","property wrapper",
"gzfilebuf","data-provider boundary","gzfilebuf::setcompressionstrategy","property wrapper",
"gzfilebuf","data-provider boundary","gzfilebuf::seekoff","wrapper stateless",
"gzfilebuf","data-provider boundary","gzfilebuf::underflow","property non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::overflow","property non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::sync","property non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::flushbuf","property wrapper",
"gzfilebuf","data-provider boundary","gzfilebuf::fillbuf","property wrapper",
"gzfilebuf","data-provider boundary","gzfilebuf::gzfilebuf","constructor",
"gzfilebuf","data-provider boundary","gzfilebuf::~gzfilebuf","destructor",
"gzfilebuf","data-provider boundary","gzfilebuf::setcompression","property wrapper",
"gzfilebuf","data-provider boundary","gzfilebuf::open","get property non-void-command collaborator",
"gzfilebuf","data-provider boundary","gzfilebuf::attach","get property non-void-command collaborator",
"gzfilebuf","data-provider boundary","gzfilebuf::close","property non-void-command",
"gzfilebuf","data-provider boundary","gzfilebuf::open_mode","wrapper stateless",
"gzfilebuf","data-provider boundary","gzfilebuf::showmanyc","property controller",
"gzfilebuf","data-provider boundary","gzfilebuf::underflow","property controller",
"gzfilebuf","data-provider boundary","gzfilebuf::overflow","property controller",
"gzfilebuf","data-provider boundary","gzfilebuf::setbuf","get property non-void-command collaborator",
