Unique Class Stereotype,Class Count
entity data-provider boundary degenerate,1
boundary degenerate,3
commander boundary,4
data-provider boundary small-class,1
entity boundary data-class,1
data-provider degenerate,1
boundary,9
degenerate,3
commander boundary degenerate,1
commander,3
empty,22
unclassified,8
entity boundary,12
lazy-class degenerate,1
controller degenerate,1
commander small-class,4
commander boundary data-class small-class,1
boundary data-class small-class,1
data-provider,4
data-provider data-class small-class,1
degenerate small-class,1
entity data-provider boundary,2
commander boundary small-class,6
entity commander boundary degenerate,1
boundary degenerate small-class,2
data-provider small-class,1
entity commander boundary,1
pure-controller degenerate small-class,1
commander data-class small-class,1
entity boundary lazy-class,1
data-provider boundary,1
Total,100
