Unique Method Stereotype,Method Count
property set collaborator,1
predicate wrapper,1
void-accessor set collaborator,1
get property wrapper,1
predicate,3
get property collaborator,1
set,2
void-accessor controller,1
controller stateless,31
void-accessor command collaborator,16
property wrapper,9
predicate non-void-command,4
property controller,6
set collaborator,10
property non-void-command collaborator,47
command collaborator,66
get collaborator,12
destructor,26
wrapper,7
command,28
empty,5
constructor,71
void-accessor command,2
factory controller stateless,1
predicate non-void-command collaborator,18
controller,4
incidental,10
copy-constructor,6
predicate set,1
property collaborator,24
property non-void-command,26
collaborator,1
get property non-void-command collaborator,2
collaborator incidental,18
get,6
unclassified,1
non-void-command factory,2
property,7
predicate set collaborator,2
void-accessor wrapper,1
wrapper stateless,9
Total,490
