Class Name,Class Stereotype,Method Name,Method Stereotype
"CompareAsyncWorker","small-class","CompareAsyncWorker","constructor",
"CompareAsyncWorker","small-class","~CompareAsyncWorker","destructor",
"CompareAsyncWorker","small-class","Execute","unclassified",
"CompareAsyncWorker","small-class","OnOK","wrapper",
"EncryptAsyncWorker","commander small-class","EncryptAsyncWorker","constructor",
"EncryptAsyncWorker","commander small-class","~EncryptAsyncWorker","destructor",
"EncryptAsyncWorker","commander small-class","Execute","command",
"EncryptAsyncWorker","commander small-class","OnOK","wrapper",
"SaltAsyncWorker","boundary small-class","SaltAsyncWorker","constructor",
"SaltAsyncWorker","boundary small-class","~SaltAsyncWorker","destructor",
"SaltAsyncWorker","boundary small-class","Execute","wrapper",
"SaltAsyncWorker","boundary small-class","OnOK","wrapper",
