Unique Method Stereotype,Method Count
factory wrapper,1
property non-void-command factory,1
get property controller,1
property factory collaborator,8
get set collaborator,4
predicate,79
property collaborator,56
property non-void-command,42
predicate set,3
property non-void-command factory collaborator,10
wrapper stateless,68
get,98
get property non-void-command collaborator,3
collaborator incidental,20
controller,13
incidental,34
copy-constructor,37
set,66
constructor,300
get set,19
predicate non-void-command collaborator,36
wrapper,27
destructor,164
factory collaborator stateless,4
set collaborator,23
property non-void-command collaborator,161
property controller,25
property,70
command collaborator,143
get collaborator,80
command,107
empty,25
unclassified,11
factory wrapper stateless,3
property wrapper,50
get non-void-command collaborator,14
get property wrapper,5
predicate non-void-command,37
property set collaborator,7
property set,4
void-accessor command collaborator,3
predicate collaborator,20
void-accessor,1
predicate wrapper,34
get non-void-command,21
non-void-command collaborator,2
predicate set collaborator,3
controller stateless,80
non-void-command factory collaborator,4
predicate controller,14
get non-void-command factory collaborator,1
collaborator,14
set factory collaborator,1
void-accessor command,4
factory controller stateless,8
get wrapper,8
get property collaborator,2
void-accessor set collaborator,1
get property non-void-command,1
factory stateless,1
get property,2
void-accessor controller,3
property factory controller,1
get set factory collaborator,1
Total,2089
