Unique Method Stereotype,Method Count
predicate collaborator,8
void-accessor controller,1
get controller,1
predicate,20
collaborator,9
get predicate non-void-command collaborator,4
get predicate controller,5
get property,3
get collaborator,41
controller stateless,53
wrapper stateless,11
destructor,129
void-accessor set collaborator,1
get non-void-command,18
wrapper,1
property set collaborator,6
command,66
empty,51
unclassified,4
get property controller,3
constructor,280
get property collaborator,7
set,31
predicate non-void-command,6
command collaborator,92
get non-void-command collaborator,18
property wrapper,37
incidental,4
controller,25
copy-constructor,68
predicate non-void-command collaborator,31
property controller,93
property non-void-command collaborator,48
set collaborator,25
property non-void-command,11
property collaborator,61
void-accessor collaborator,1
void-accessor command collaborator,29
get property non-void-command collaborator,1
get,40
collaborator incidental,1
property,37
predicate controller,5
get set collaborator,3
Total,1389
