Unique Class Stereotype,Class Count
controller degenerate,2
data-provider boundary lazy-class degenerate,1
entity minimal-entity boundary,1
factory degenerate small-class,1
data-provider boundary lazy-class,1
pure-controller degenerate,2
data-provider boundary data-class small-class,1
commander small-class,6
data-provider boundary data-class,1
data-provider lazy-class small-class,1
commander data-class,1
controller,3
commander lazy-class degenerate,1
data-provider data-class small-class,2
boundary degenerate,13
commander boundary,16
data-provider small-class,11
boundary degenerate small-class,18
data-provider boundary,21
lazy-class,4
data-provider boundary small-class,10
entity boundary small-class,11
small-class,22
boundary data-class small-class,2
controller small-class,1
unclassified,69
commander,16
empty,275
data-provider,35
pure-controller,1
entity commander boundary,2
pure-controller degenerate small-class,13
entity data-provider boundary,3
boundary,36
pure-controller small-class,9
degenerate,14
data-provider boundary degenerate,2
data-class small-class,4
entity boundary,12
boundary lazy-class,1
degenerate small-class,7
commander boundary degenerate,2
boundary small-class,4
commander data-class small-class,1
data-provider data-class,1
commander boundary small-class,9
lazy-class degenerate,1
Total,670
