Unique Class Stereotype,Class Count
entity minimal-entity data-provider boundary,1
commander lazy-class degenerate,1
factory degenerate small-class,1
data-provider boundary lazy-class,1
controller lazy-class degenerate,1
entity,1
data-provider lazy-class small-class,2
commander data-class,4
lazy-class degenerate,1
lazy-class small-class,2
data-provider lazy-class,1
commander boundary data-class,5
data-provider degenerate,2
data-provider data-class small-class,8
data-provider boundary data-class small-class,10
entity data-provider boundary,25
entity boundary degenerate,3
commander boundary data-class small-class,5
commander small-class,12
entity boundary small-class,22
boundary lazy-class data-class small-class,1
data-provider boundary data-class,10
data-provider lazy-class degenerate,1
boundary data-class small-class,6
data-class,11
minimal-entity boundary,2
boundary data-class,5
data-provider small-class,29
controller small-class,5
unclassified,142
data-class small-class,12
entity boundary,76
data-provider,95
small-class,80
boundary degenerate small-class,70
pure-controller degenerate small-class,27
entity commander boundary,14
data-provider boundary small-class,36
empty,546
commander,47
pure-controller degenerate,4
commander degenerate,1
entity data-provider boundary data-class small-class,1
lazy-class,3
data-provider boundary,62
degenerate small-class,36
commander boundary small-class,22
boundary degenerate,17
commander boundary,20
controller,2
boundary lazy-class degenerate,1
controller degenerate,4
degenerate,14
boundary,65
pure-controller small-class,1
entity minimal-entity boundary,10
boundary small-class,11
data-provider data-class,6
commander data-class small-class,6
Total,1609
