Unique Method Stereotype,Method Count
get non-void-command factory collaborator,1
get property set,1
get property set factory collaborator,1
get property set collaborator,3
get predicate collaborator,1
get property factory collaborator,2
property command collaborator,13
get set collaborator,8
factory collaborator incidental,4
get property controller,13
property set,18
property factory,13
get predicate wrapper,2
get property wrapper,9
get predicate set,2
predicate wrapper,32
get set factory,21
get wrapper,41
incidental,645
get set,7
get predicate non-void-command,1
non-void-command factory,3
unclassified,35
get property non-void-command factory collaborator,6
controller,222
factory collaborator,2
get,317
collaborator incidental,424
get property non-void-command collaborator,57
predicate,355
factory wrapper stateless,2
get predicate,12
copy-constructor,323
void-accessor collaborator,263
void-accessor command collaborator,1342
property collaborator,760
property non-void-command,152
property non-void-command factory collaborator,64
predicate set,24
set,294
constructor,1304
property factory wrapper,1
command,1010
get non-void-command collaborator,32
property wrapper,229
command collaborator,1308
property,338
void-accessor,226
predicate collaborator,357
destructor,694
property factory collaborator,162
get controller,6
get collaborator,356
controller stateless,982
non-void-command factory collaborator,40
predicate controller,139
property non-void-command collaborator,1432
get void-accessor command collaborator,1
property controller,143
set collaborator,341
get command,1
wrapper stateless,1605
void-accessor wrapper,83
predicate non-void-command,293
predicate non-void-command collaborator,813
wrapper,129
empty,381
property set collaborator,35
non-void-command collaborator,2
get non-void-command,15
get property non-void-command,3
get property collaborator,50
void-accessor set collaborator,96
get property,28
void-accessor command,162
factory controller stateless,164
get predicate non-void-command collaborator,7
predicate set collaborator,62
collaborator,263
set factory collaborator,6
property non-void-command factory,5
collaborator stateless,8
factory collaborator stateless,8
void-accessor set,7
void-accessor controller,104
get set factory collaborator,2
property factory controller,4
Total,18932
