Unique Class Stereotype,Class Count
pure-controller small-class,1
data-class small-class,1
degenerate small-class,2
commander small-class,1
entity commander boundary,1
boundary degenerate small-class,1
controller small-class,1
data-provider boundary,1
empty,17
unclassified,20
entity boundary small-class,4
small-class,4
commander boundary small-class,3
pure-controller degenerate,3
boundary,8
commander,4
entity boundary,12
controller,1
boundary degenerate,4
commander boundary,2
entity minimal-entity boundary,2
data-provider,3
data-class,3
pure-controller degenerate small-class,1
Total,100
