Unique Method Stereotype,Method Count
property factory wrapper,1
predicate wrapper,2
property command collaborator,1
property factory collaborator,1
predicate controller,2
get predicate non-void-command,1
predicate collaborator,6
factory collaborator stateless,1
get property non-void-command,1
get wrapper,3
predicate set collaborator,1
property set,1
wrapper,4
get predicate collaborator,1
predicate non-void-command,9
collaborator incidental,19
get property non-void-command collaborator,1
get,29
property,18
get set collaborator,4
set,21
constructor,50
destructor,45
property set collaborator,4
command,49
unclassified,3
empty,8
get property wrapper,1
void-accessor set collaborator,6
predicate,5
controller stateless,26
get collaborator,31
property non-void-command collaborator,61
property controller,12
set collaborator,14
command collaborator,37
property wrapper,9
get non-void-command collaborator,1
predicate set,1
property collaborator,19
property non-void-command,12
wrapper stateless,14
void-accessor wrapper,3
incidental,20
predicate non-void-command collaborator,13
controller,9
void-accessor command,10
void-accessor collaborator,3
void-accessor command collaborator,42
void-accessor,2
Total,637
