Class Name,Class Stereotype,Method Name,Method Stereotype
"t_vocab","entity boundary","t_vocab::t_vocab","constructor",
"t_vocab","entity boundary","t_vocab::t_vocab","constructor",
"t_vocab","entity boundary","t_vocab::t_vocab","constructor",
"t_vocab","entity boundary","t_vocab::rebuild_map","command collaborator",
"t_vocab","entity boundary","t_vocab::reserve","command",
"t_vocab","entity boundary","t_vocab::string_exists","predicate collaborator",
"t_vocab","entity boundary","t_vocab::get_interned","property non-void-command collaborator",
"t_vocab","entity boundary","t_vocab::genidx","property set collaborator",
"t_vocab","entity boundary","t_vocab::init","command",
"t_vocab","entity boundary","t_vocab::get_interned","property non-void-command collaborator",
"t_vocab","entity boundary","t_vocab::verify","unclassified",
"t_vocab","entity boundary","t_vocab::verify_size","unclassified",
"t_vocab","entity boundary","t_vocab::nbytes","property collaborator",
"t_vocab","entity boundary","t_vocab::fill","void-accessor command collaborator",
"t_vocab","entity boundary","t_vocab::copy_vocabulary","command",
"t_vocab","entity boundary","t_vocab::pprint_vocabulary","collaborator",
"t_vocab","entity boundary","t_vocab::unintern_c","property collaborator",
"t_vocab","entity boundary","t_vocab::clone","void-accessor command",
"t_vocab","entity boundary","t_vocab::set_vlenidx","set collaborator",
"t_vocab","entity boundary","t_vocab::get_extents_base","property non-void-command collaborator",
"t_vocab","entity boundary","t_vocab::get_vlen_base","property non-void-command",
"t_vocab","entity boundary","t_vocab::get_vlendata","get collaborator",
"t_vocab","entity boundary","t_vocab::get_extents","get collaborator",
"t_vocab","entity boundary","t_vocab::get_vlenidx","get collaborator",
"t_view_config","entity data-provider boundary","t_view_config::t_view_config","constructor",
"t_view_config","entity data-provider boundary","t_view_config::init","void-accessor command collaborator",
"t_view_config","entity data-provider boundary","t_view_config::validate","command collaborator",
"t_view_config","entity data-provider boundary","t_view_config::get_used_expressions","property non-void-command collaborator",
"t_view_config","entity data-provider boundary","t_view_config::get_column_pivots","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_aggspecs","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_columns","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_fterm","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_sortspec","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_col_sortspec","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_expressions","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_filter_op","property wrapper",
"t_view_config","entity data-provider boundary","t_view_config::is_column_only","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_row_pivot_depth","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::get_column_pivot_depth","get wrapper",
"t_view_config","entity data-provider boundary","t_view_config::fill_aggspecs","command collaborator",
"t_view_config","entity data-provider boundary","t_view_config::fill_fterm","command collaborator",
"t_view_config","entity data-provider boundary","t_view_config::fill_sortspec","command",
"t_view_config","entity data-provider boundary","t_view_config::get_aggregate_index","property collaborator",
"t_view_config","entity data-provider boundary","t_view_config::make_aggspec","void-accessor command collaborator",
