Unique Class Stereotype,Class Count
commander boundary degenerate,1
entity boundary small-class,15
small-class,40
entity boundary,13
data-provider boundary,7
pure-controller degenerate,5
data-provider,6
data-provider data-class small-class,2
pure-controller small-class,1
boundary,17
degenerate,11
data-class,1
commander boundary,1
boundary degenerate,3
controller degenerate,1
boundary lazy-class degenerate,1
controller small-class,10
unclassified,23
boundary degenerate small-class,13
pure-controller degenerate small-class,101
entity commander boundary,2
data-provider lazy-class small-class,1
entity data-provider boundary,2
data-provider small-class,11
commander boundary small-class,1
boundary data-class small-class,4
degenerate small-class,16
data-provider boundary small-class,13
empty,108
commander,1
minimal-entity commander boundary,1
data-provider boundary data-class,1
lazy-class degenerate,1
Total,434
