Class Name,Class Stereotype,Method Name,Method Stereotype
"menu_module","unclassified","update","empty",
"menu_module","unclassified","menu_module::menu_module","constructor",
"menu_module","unclassified","menu_module::build","predicate",
"menu_module","unclassified","menu_module::action_open","command",
"menu_module","unclassified","menu_module::action_close","set",
"menu_module","unclassified","menu_module::action_exec","void-accessor command",
"signal_receiver_interface","controller small-class","~signal_receiver_interface","destructor",
"signal_receiver_interface","controller small-class","signal_receiver_interface::on","predicate controller",
"xwindow_module","commander boundary","xwindow_module::xwindow_module","constructor",
"xwindow_module","commander boundary","xwindow_module::handle","command collaborator",
"xwindow_module","commander boundary","xwindow_module::reset_active_window","command",
"xwindow_module","commander boundary","xwindow_module::update","command collaborator",
"xwindow_module","commander boundary","xwindow_module::build","predicate controller",
"ipc_module","commander","ipc_module::ipc_module","constructor",
"ipc_module","commander","ipc_module::action_send","set",
"ipc_module","commander","ipc_module::action_hook","void-accessor command",
"ipc_module","commander","ipc_module::action_next","command",
"ipc_module","commander","ipc_module::action_prev","command",
"ipc_module","commander","ipc_module::action_reset","command",
"ipc_module","commander","ipc_module::hook_offset","command",
"ipc_module","commander","ipc_module::has_initial","predicate",
"ipc_module","commander","ipc_module::has_hook","predicate",
"ipc_module","commander","ipc_module::set_hook","command",
"ipc_module","commander","ipc_module::exec_hook","command collaborator",
"ipc_module","commander","ipc_module::update_output","command",
"device_lock","data-provider small-class","device_lock::device_lock","constructor",
"device_lock","data-provider small-class","device_lock::~device_lock","destructor",
"device_lock","data-provider small-class","device_lock::operatorbool","unclassified",
"device_lock","data-provider small-class","device_lock::operatorcairo_device_t*","get",
"fs_module","empty","fs_module::fs_module","constructor",
"config","boundary","config","constructor",
"config","boundary","get","property collaborator",
"config","boundary","get","property collaborator",
"config","boundary","get","property collaborator",
"config","boundary","get_with_prefix","property collaborator",
"config","boundary","get_list","property collaborator",
"config","boundary","get_list","property collaborator",
"config","boundary","get_list","property collaborator",
"config","boundary","deprecated","property collaborator",
"config","boundary","config::filepath","get",
"config","boundary","config::section","property",
"config","boundary","config::use_xrm","command",
"config","boundary","config::set_sections","set collaborator",
"config","boundary","config::set_included","set collaborator",
"config","boundary","config::get_included_files","get collaborator",
"config","boundary","config::warn_deprecated","void-accessor",
"config","boundary","config::has","predicate collaborator",
"config","boundary","config::set","void-accessor command collaborator",
"config","boundary","config::copy_inherited","command collaborator",
"config","boundary","config::dereference","property",
"config","boundary","config::dereference_local","property",
"config","boundary","config::dereference_env","property",
"config","boundary","config::dereference_xrdb","property collaborator",
"config","boundary","config::dereference_file","property",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","wrapper stateless",
"config","boundary","config::convert","controller stateless",
"config","boundary","config::convert","wrapper stateless",
"fs_mount","empty","fs_mount","constructor",
"cw_params_backing_planes","empty","cw_params_backing_planes","constructor",
"date_module","unclassified","date_module::date_module","constructor",
"date_module","unclassified","date_module::update","predicate non-void-command collaborator",
"date_module","unclassified","date_module::build","predicate",
"date_module","unclassified","date_module::action_toggle","set",
"backlight_module","unclassified","backlight_module::backlight_module","constructor",
"backlight_module","unclassified","backlight_module::idle","command collaborator",
"backlight_module","unclassified","backlight_module::on_event","predicate non-void-command collaborator",
"backlight_module","unclassified","backlight_module::get_output","property non-void-command",
"backlight_module","unclassified","backlight_module::build","predicate",
"backlight_module","unclassified","backlight_module::action_inc","command",
"backlight_module","unclassified","backlight_module::action_dec","command",
"backlight_module","unclassified","backlight_module::change_value","command",
"bspwm_module","unclassified","bspwm_module::bspwm_module","constructor",
"bspwm_module","unclassified","bspwm_module::stop","command",
"bspwm_module","unclassified","bspwm_module::has_event","predicate non-void-command",
"bspwm_module","unclassified","bspwm_module::update","predicate controller",
"bspwm_module","unclassified","bspwm_module::handle_status","predicate non-void-command collaborator",
"bspwm_module","unclassified","bspwm_module::get_output","property non-void-command",
"bspwm_module","unclassified","bspwm_module::build","predicate controller",
"bspwm_module","unclassified","bspwm_module::action_focus","void-accessor command",
"bspwm_module","unclassified","bspwm_module::action_next","command",
"bspwm_module","unclassified","bspwm_module::action_prev","command",
"bspwm_module","unclassified","bspwm_module::focus_direction","command collaborator",
"bspwm_module","unclassified","bspwm_module::send_command","void-accessor command collaborator",
"alsa_module","boundary","alsa_module::alsa_module","constructor",
"alsa_module","boundary","alsa_module::get_output","property non-void-command collaborator",
"alsa_module","boundary","alsa_module::build","predicate",
"alsa_module","boundary","alsa_module::action_inc","command",
"alsa_module","boundary","alsa_module::action_dec","command",
"alsa_module","boundary","alsa_module::action_toggle","command collaborator",
"alsa_module","boundary","alsa_module::change_volume","command collaborator",
"alsa_module","boundary","alsa_module::action_epilogue","controller stateless",
"alsa_module","boundary","alsa_module::get_mixers","property controller",
"ipc","unclassified","ipc::make","property non-void-command collaborator",
"ipc","unclassified","ipc::ipc","constructor",
"ipc","unclassified","ipc::~ipc","destructor",
"ipc","unclassified","ipc::get_socket_path","wrapper stateless",
"ipc","unclassified","ipc::trigger_ipc","predicate non-void-command",
"ipc","unclassified","ipc::trigger_legacy_ipc","void-accessor command",
"ipc","unclassified","ipc::on_connection","command collaborator",
"ipc","unclassified","ipc::remove_client","void-accessor command collaborator",
"ipc","unclassified","ipc::receive_data","set",
"ipc","unclassified","ipc::receive_eof","command",
"animation","boundary","animation","constructor",
"animation","boundary","animation","constructor",
"animation","boundary","animation::add","void-accessor command collaborator",
"animation","boundary","animation::get","get collaborator",
"animation","boundary","animation::framerate","get",
"animation","boundary","animation::operatorbool","unclassified",
"animation","boundary","animation::increment","set collaborator",
"action_context","data-provider boundary","action_context::reset","command",
"action_context","data-provider boundary","action_context::action_open","property non-void-command collaborator",
"action_context","data-provider boundary","action_context::action_close","property non-void-command collaborator",
"action_context","data-provider boundary","action_context::set_start","unclassified",
"action_context","data-provider boundary","action_context::set_end","wrapper",
"action_context","data-provider boundary","action_context::compensate_for_negative_move","unclassified",
