Unique Method Stereotype,Method Count
void-accessor controller,1
property set,1
get set collaborator,6
get non-void-command,2
get controller,5
get wrapper,38
void-accessor command collaborator,1
collaborator,12
predicate set collaborator,5
property,44
get property non-void-command collaborator,2
collaborator incidental,3
get,50
unclassified,31
command,187
empty,10
predicate controller,13
destructor,43
predicate collaborator,12
get set,1
wrapper,16
set,35
constructor,140
command collaborator,154
predicate,37
get collaborator,23
wrapper stateless,34
controller stateless,43
copy-constructor,4
controller,10
incidental,11
predicate non-void-command collaborator,24
get non-void-command collaborator,9
property wrapper,28
predicate set,2
property collaborator,31
property non-void-command,19
get property,4
predicate non-void-command,23
set collaborator,19
property controller,9
property non-void-command collaborator,43
non-void-command collaborator,1
predicate wrapper,6
non-void-command,4
Total,1196
