Unique Class Stereotype,Class Count
commander boundary degenerate,1
lazy-class,1
minimal-entity commander boundary,2
commander boundary lazy-class,1
minimal-entity boundary,1
controller,1
data-provider boundary data-class small-class,6
boundary data-class small-class,1
unclassified,22
commander boundary small-class,12
commander boundary,35
boundary degenerate,6
data-class small-class,1
entity boundary,15
data-provider,5
commander boundary lazy-class degenerate,1
data-provider data-class small-class,3
degenerate small-class,3
data-class,1
pure-controller degenerate small-class,9
entity commander boundary,7
boundary degenerate small-class,12
pure-controller degenerate,2
entity boundary small-class,4
small-class,12
degenerate,4
boundary,35
pure-controller small-class,2
data-provider boundary,20
data-provider data-class,1
commander data-class small-class,1
boundary small-class,5
empty,106
commander,10
data-provider boundary small-class,15
controller degenerate,1
commander small-class,5
commander boundary data-class small-class,1
entity data-provider boundary,8
data-provider small-class,2
Total,380
