Class Name,Class Stereotype,Method Name,Method Stereotype
"ReadableVarRenamerTests","commander boundary small-class","ReadableVarRenamerTests::scenarioVarStoringTheResultOfKnownFuncIsRenamedCorrectly","command collaborator",
"VarRenamerWithCreate","degenerate small-class","getId","incidental",
"VarRenamerWithCreate","degenerate small-class","VarRenamerWithCreate","constructor",
"ReturnValidatorTests","commander data-class small-class","SetUp","set",
"NoGlobalVarDefValidatorTests","commander data-class small-class","SetUp","set",
"LibraryFuncsRemoverTests","boundary small-class","LibraryFuncsRemoverTests::SetUp","wrapper",
"WinAPISemanticsTests","commander data-class small-class","SetUp","set",
"LibcSemanticsTests","commander data-class small-class","SetUp","set",
"GCCGeneralSemanticsTests","commander data-class small-class","SetUp","set",
"DefaultSemanticsTests","commander data-class small-class","SetUp","set",
"CompoundSemanticsTests","commander data-class small-class","SetUp","set",
"APICallSeqFinderMock","empty","APICallSeqFinderMock","constructor",
"APICallInfoSeqParserTests","commander data-class small-class","SetUp","set",
"ThreeOperandsSubOptimizerTests","commander boundary data-class small-class","SetUp","set collaborator",
"NegativeOperandSubOptimizerTests","commander boundary data-class small-class","SetUp","set collaborator",
"NegationOperatorSubOptimizerTests","commander boundary data-class small-class","SetUp","set collaborator",
"EqualOperandsSubOptimizerTests","commander boundary data-class small-class","SetUp","set collaborator",
"ConstOperatorConstSubOptimizerTests","commander boundary data-class small-class","SetUp","set collaborator",
"ChangeOrderOfOperandsSubOptimizerTests","commander boundary data-class small-class","SetUp","set collaborator",
"BoolComparisonSubOptimizerTests","empty","BoolComparisonSubOptimizerTests::BoolComparisonSubOptimizerTests","constructor",
"IfToSwitchOptimizerTests","pure-controller degenerate small-class","IfToSwitchOptimizerTests::checkCorrectConvertIfToSwitch","controller stateless",
"DeadCodeOptimizerTests","boundary degenerate small-class","DeadCodeOptimizerTests::optimize","wrapper stateless",
"CArrayArgOptimizerTests","degenerate","CArrayArgOptimizerTests::createArrayArg","controller stateless",
"CArrayArgOptimizerTests","degenerate","CArrayArgOptimizerTests::getVarFromArrayArg","controller stateless",
"CArrayArgOptimizerTests","degenerate","CArrayArgOptimizerTests::checkThatArrayArgWasOptimized","command collaborator",
"CArrayArgOptimizerTests","degenerate","CArrayArgOptimizerTests::checkThatArrayArgWasNotOptimized","wrapper stateless",
"FuncInfoMock","empty","FuncInfoMock","constructor",
"CallInfoMock","empty","CallInfoMock","constructor",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::LLVMIR2BIRConverterBaseTests","constructor",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::convertLLVMIR2BIR","property set collaborator",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::parseLLVMIR","property controller",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::getFirstNonEmptySuccOf","controller stateless",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isConstInt","controller stateless",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isCallOfFuncTest","controller stateless",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isCallOfFuncTest","property non-void-command collaborator",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isIntReturn","property non-void-command collaborator",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isAssignOfConstIntToVar","property non-void-command collaborator",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isAssignOfVarToVar","controller stateless",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isAssignOfVarToVarDeref","controller stateless",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isAssignOfVarDerefToVar","controller stateless",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isAssignOfAddExprToVar","property non-void-command collaborator",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isAssignOfMulExprToVar","property non-void-command collaborator",
"LLVMIR2BIRConverterBaseTests","unclassified","LLVMIR2BIRConverterBaseTests::isVarDef","controller stateless",
"VariablesManagerTests","empty","VariablesManagerTests::VariablesManagerTests","constructor",
"TestsWithLLVMValueConverter","pure-controller degenerate small-class","TestsWithLLVMValueConverter::TestsWithLLVMValueConverter","constructor",
"TestsWithLLVMValueConverter","pure-controller degenerate small-class","TestsWithLLVMValueConverter::areBinaryOperandsInCorrectOrder","controller stateless",
"TestsWithLLVMValueConverter","pure-controller degenerate small-class","TestsWithLLVMValueConverter::areTernaryOperandsInCorrectOrder","controller stateless",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::binaryOperatorIsConvertedCorrectly","command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::binaryOperatorIsConvertedCorrectly","command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::castInstIsConvertedCorrectly","command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::castInstIsConvertedCorrectly","command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::createICmpInstAndConvertToBir","property non-void-command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::iCmpIsConvertedCorrectly","command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::unsignedICmpIsConvertedCorrectly","command collaborator",
"LLVMInstructionsConverterTests","entity commander boundary","LLVMInstructionsConverterTests::signedICmpIsConvertedCorrectly","command collaborator",
"LLVMFCmpConverterTests","commander boundary","LLVMFCmpConverterTests::isDetectionIfEitherOperandIsQNAN","controller stateless",
"LLVMFCmpConverterTests","commander boundary","LLVMFCmpConverterTests::fcmpIsConvertedAsSimpleExpression","command collaborator",
"LLVMFCmpConverterTests","commander boundary","LLVMFCmpConverterTests::orderedFCmpIsConvertedCorrectlyWithStrictSemantics","command collaborator",
"LLVMFCmpConverterTests","commander boundary","LLVMFCmpConverterTests::unorderedFCmpIsConvertedCorrectlyWithStrictSemantics","command collaborator",
"LLVMFCmpConverterTests","commander boundary","LLVMFCmpConverterTests::orderedFCmpIsConvertedCorrectlyWithNonStrictSemantics","command collaborator",
"LLVMFCmpConverterTests","commander boundary","LLVMFCmpConverterTests::unorderedFCmpIsConvertedCorrectlyWithNonStrictSemantics","command collaborator",
"LLVMFCmpConverterConstantsTests","lazy-class","LLVMFCmpConverterConstantsTests::isDetectionIfEitherOperandIsQNAN","controller stateless",
"LLVMFCmpConverterConstantsTests","lazy-class","LLVMFCmpConverterConstantsTests::fcmpIsConvertedAsSimpleExpression","controller stateless",
"LLVMFCmpConverterConstantsTests","lazy-class","LLVMFCmpConverterConstantsTests::orderedFCmpIsConvertedCorrectlyWithStrictSemantics","set",
"LLVMFCmpConverterConstantsTests","lazy-class","LLVMFCmpConverterConstantsTests::unorderedFCmpIsConvertedCorrectlyWithStrictSemantics","set collaborator",
"LLVMFCmpConverterConstantsTests","lazy-class","LLVMFCmpConverterConstantsTests::orderedFCmpIsConvertedCorrectlyWithNonStrictSemantics","set",
"LLVMFCmpConverterConstantsTests","lazy-class","LLVMFCmpConverterConstantsTests::unorderedFCmpIsConvertedCorrectlyWithNonStrictSemantics","set",
"LLVMConstantConverterTestsByLLVMIR","pure-controller degenerate small-class","LLVMConstantConverterTestsByLLVMIR::convertLLVMIRConstant2BIR","controller stateless",
"LabelsHandlerTests","data-provider boundary small-class","LabelsHandlerTests::createBasicBlock","property wrapper",
"LLVMIntrinsicConverterTests","commander boundary small-class","LLVMIntrinsicConverterTests::scenarioIsConvertedTo","command collaborator",
"UForLoopStmtTests","boundary degenerate small-class","UForLoopStmtTests::createLoop","wrapper stateless",
"IntTypeTests","boundary degenerate small-class","IntTypeTests::getSignedIntType","wrapper stateless",
"IntTypeTests","boundary degenerate small-class","IntTypeTests::getUnsignedIntType","wrapper stateless",
"JsonOutputManagerTests","pure-controller small-class","JsonOutputManagerTests::SetUp","unclassified",
"JsonOutputManagerTests","pure-controller small-class","JsonOutputManagerTests::emitSingleToken","controller stateless",
"HLLWriterTests","small-class","HLLWriterTests::HLLWriterTests","constructor",
"HLLWriterTests","small-class","HLLWriterTests::SetUp","set",
"HLLWriterTests","small-class","HLLWriterTests::emitCodeForCurrentModule","property non-void-command",
"CompoundOpManagerTests","commander boundary small-class","CompoundOpManagerTests::tryToOptimizeAndCheckResult","command collaborator",
"StrictArithmExprEvaluatorTests","small-class","StrictArithmExprEvaluatorTests::evaluateAndCheckResult","command collaborator",
"StrictArithmExprEvaluatorTests","small-class","StrictArithmExprEvaluatorTests::evaluateAndCheckResult","controller stateless",
"CArithmExprEvaluatorTests","small-class","CArithmExprEvaluatorTests::evaluateAndCheckResult","command collaborator",
"CArithmExprEvaluatorTests","small-class","CArithmExprEvaluatorTests::evaluateAndCheckResult","controller stateless",
"SimpleAliasAnalysisTests","commander data-class small-class","SetUp","set",
"PeFormatTests_istream","empty","PeFormatTests_istream","constructor",
"MachoFormatTests_data","empty","MachoFormatTests_data","constructor",
"MachoFormatTests_istream","empty","MachoFormatTests_istream","constructor",
"IntelHexTokenTests","empty","IntelHexTokenTests","constructor",
"IntelHexFormatTests_istream","small-class","IntelHexFormatTests_istream","constructor",
"IntelHexFormatTests_istream","small-class","loadOtherString","unclassified",
"ElfFormatTests_istream","empty","ElfFormatTests_istream","constructor",
"CoffFormatTests_istream","empty","CoffFormatTests_istream","constructor",
"MsCtypesTests","entity boundary small-class","MsCtypesTests","constructor",
"MsCtypesTests","entity boundary small-class","mangledToCtypes","property non-void-command collaborator",
"ItaniumCtypesTests","entity boundary small-class","ItaniumCtypesTests","constructor",
"ItaniumCtypesTests","entity boundary small-class","mangledToCtypes","property non-void-command collaborator",
"LlvmItaniumDemanglerTests","empty","LlvmItaniumDemanglerTests","constructor",
"BorlandContextTests","empty","BorlandContextTests","constructor",
"BorlandCtypesTests","entity boundary small-class","BorlandCtypesTests","constructor",
"BorlandCtypesTests","entity boundary small-class","mangledToCtypes","property non-void-command collaborator",
"JSONCTypesParserTests","empty","JSONCTypesParserTests","constructor",
"VisitAllVisitorTests","empty","VisitAllVisitorTests","constructor",
"VisitAll","data-provider boundary data-class small-class","getAccessedTypes","get collaborator",
"UnionTypeTests","empty","UnionTypeTests","constructor",
"TypedefedTypeTests","empty","TypedefedTypeTests","constructor",
"StructTypeTests","empty","StructTypeTests","constructor",
"PointerTypeTests","empty","PointerTypeTests","constructor",
"ParameterTests","empty","ParameterTests","constructor",
"ModuleTests","entity boundary","ModuleTests","constructor",
"ModuleTests","entity boundary","ModuleTests::ModuleTests","constructor",
"ModuleTests","entity boundary","ModuleTests::addFuncDecl","property non-void-command collaborator",
"ModuleTests","entity boundary","ModuleTests::addFuncDef","property non-void-command collaborator",
"ModuleTests","entity boundary","ModuleTests::addGlobalVar","property non-void-command collaborator",
"IntegralTypeTests","empty","IntegralTypeTests","constructor",
"FunctionTests","empty","FunctionTests","constructor",
"FloatingPointTypeTests","empty","FloatingPointTypeTests","constructor",
"EnumTypeTests","empty","EnumTypeTests","constructor",
"ContextTests","empty","ContextTests","constructor",
"CompositeTypeTests","empty","CompositeTypeTests","constructor",
"ArrayTypeTests","empty","ArrayTypeTests","constructor",
"AnnotationOptionalTests","empty","AnnotationOptionalTests","constructor",
"AnnotationInOutTests","empty","AnnotationInOutTests","constructor",
"AnnotationInTests","empty","AnnotationInTests","constructor",
"LanguageContainerTests","empty","LanguageContainerTests","constructor",
"PrintCapstoneModeToString_x86","boundary degenerate small-class","operator()","collaborator incidental",
"Capstone2LlvmIrTranslatorX86Tests","boundary","initKeystoneEngine","wrapper stateless",
"Capstone2LlvmIrTranslatorX86Tests","boundary","initCapstone2LlvmIrTranslator","wrapper stateless",
"Capstone2LlvmIrTranslatorX86Tests","boundary","modifyTranslationForEmulation","property non-void-command collaborator",
"Capstone2LlvmIrTranslatorX86Tests","boundary","getX86Translator","controller stateless",
"Capstone2LlvmIrTranslatorX86Tests","boundary","getParentRegister","property non-void-command",
"Capstone2LlvmIrTranslatorX86Tests","boundary","getRegister","property non-void-command collaborator",
"Capstone2LlvmIrTranslatorX86Tests","boundary","getRegisterValueUnsigned","property non-void-command collaborator",
"Capstone2LlvmIrTranslatorX86Tests","boundary","setRegisterValueUnsigned","command",
"Capstone2LlvmIrTranslatorPowerpcTests","boundary degenerate small-class","initKeystoneEngine","wrapper stateless",
"Capstone2LlvmIrTranslatorPowerpcTests","boundary degenerate small-class","initCapstone2LlvmIrTranslator","wrapper stateless",
"PrintCapstoneModeToString_Mips","boundary degenerate small-class","operator()","collaborator incidental",
"Capstone2LlvmIrTranslatorTests","boundary","Capstone2LlvmIrTranslatorTests","constructor",
"Capstone2LlvmIrTranslatorTests","boundary","~Capstone2LlvmIrTranslatorTests","destructor",
"Capstone2LlvmIrTranslatorTests","boundary","SetUp","command",
"Capstone2LlvmIrTranslatorTests","boundary","initLlvmEmulator","wrapper stateless",
"Capstone2LlvmIrTranslatorTests","boundary","assemble","controller stateless",
"Capstone2LlvmIrTranslatorTests","boundary","translate","controller stateless",
"Capstone2LlvmIrTranslatorTests","boundary","modifyTranslationForEmulation","collaborator incidental",
"Capstone2LlvmIrTranslatorTests","boundary","emulate","property non-void-command collaborator",
"Capstone2LlvmIrTranslatorTests","boundary","emulate_bin","property non-void-command collaborator",
"Capstone2LlvmIrTranslatorTests","boundary","_emulate","non-void-command collaborator",
"CFGSimplifyPassTests","boundary degenerate small-class","runOnModule","wrapper stateless",
"LlvmIrTests","boundary","LlvmIrTests","constructor",
"LlvmIrTests","boundary","clearAllStaticData","wrapper stateless",
"LlvmIrTests","boundary","SetUp","command",
"LlvmIrTests","boundary","TearDown","command",
"LlvmIrTests","boundary","createFormat","wrapper stateless",
"LlvmIrTests","boundary","loadFormat","wrapper stateless",
"LlvmIrTests","boundary","parseInput","set",
"LlvmIrTests","boundary","removeAlignment","wrapper stateless",
"LlvmIrTests","boundary","checkModuleAgainstExpectedIr","command",
"LlvmIrTests","boundary","getValueByName","property non-void-command collaborator",
"LlvmIrTests","boundary","getFunctionByName","property non-void-command collaborator",
"LlvmIrTests","boundary","getGlobalByName","property non-void-command collaborator",
"LlvmIrTests","boundary","getInstructionByName","property non-void-command collaborator",
"LlvmIrTests","boundary","getNthInstruction","property wrapper",
"LlvmIrTests","boundary","getNthInstruction","wrapper stateless",
"LlvmIrTests","boundary","runOnFunctionCustom","controller stateless",
"LlvmIrTests","boundary","runOnModuleCustom","controller stateless",
"LlvmIrTests","boundary","initializeLlvmPassRegistry","wrapper stateless",
"LlvmIrTests","boundary","runOnModule","command collaborator",
"LlvmIrTests","boundary","runOnFunctions","command collaborator",
"LlvmIrTests","boundary","printLLVMIRConversionError","controller stateless",
"LlvmIrTests","boundary","_parseInput","property non-void-command collaborator",
"FunctionTypeTests","empty","FunctionTypeTests","constructor",
"InstCombinePassTests","boundary degenerate small-class","runOnModule","wrapper stateless",
"X87FpuAnalysisTests","commander small-class","X87FpuAnalysisTests::setX86Environment","command",
"UpxStubSignatures","controller small-class","UpxStubSignatures::matchSignatures","property controller",
"UpxStubSignatures","controller small-class","UpxStubSignatures::matchSignatures","property controller",
"FileMemoryDumpedException","empty","FileMemoryDumpedException","constructor",
"ImportNamesNotFoundException","empty","ImportNamesNotFoundException","constructor",
"InvalidDataDirectoryException","empty","InvalidDataDirectoryException","constructor",
"OriginalHeaderNotFoundException","empty","OriginalHeaderNotFoundException","constructor",
"UnsupportedFilterException","empty","UnsupportedFilterException","constructor",
"UnsupportedPackingMethodException","empty","UnsupportedPackingMethodException","constructor",
"InvalidBlockException","empty","InvalidBlockException","constructor",
"UpxPlugin","commander","UpxPlugin::UpxPlugin","constructor",
"UpxPlugin","commander","UpxPlugin::~UpxPlugin","destructor",
"UpxPlugin","commander","UpxPlugin::prepare","command",
"UpxPlugin","commander","UpxPlugin::unpack","command",
"UpxPlugin","commander","UpxPlugin::cleanup","command",
"UnfilterD0","pure-controller degenerate small-class","UnfilterD0::perform","controller stateless",
"Unfilter50","pure-controller degenerate small-class","Unfilter50::perform","controller stateless",
"Unfilter","pure-controller degenerate small-class","Unfilter::run","controller stateless",
"Unfilter16","pure-controller degenerate small-class","Unfilter16::perform","controller stateless",
"UpxExtraData","data-class","UpxExtraData","constructor",
"UpxExtraData","data-class","UpxExtraData","copy-constructor",
"UpxExtraData","data-class","getImportsOffset","get",
"UpxExtraData","data-class","setImportsOffset","set",
"UpxExtraData","data-class","getRelocationsOffset","get",
"UpxExtraData","data-class","setRelocationsOffset","set",
"UpxExtraData","data-class","areRelocationsBigEndian","get",
"UpxExtraData","data-class","setRelocationsBigEndian","set",
"UpxExtraData","data-class","getOriginalHeaderOffset","get",
"UpxExtraData","data-class","setOriginalHeaderOffset","set",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::ElfUpxStub","constructor",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::unpack","command collaborator",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::setupPackingMethod","set",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::decompress","command collaborator",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::cleanup","empty",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::getFirstBlockOffset","controller stateless",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::validBlock","controller stateless",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::unpackBlock","command collaborator",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::unpackBlock","void-accessor command collaborator",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::nextLoadSegmentGap","controller stateless",
"ElfUpxStub","unclassified","ElfUpxStub<bits>::unfilterBlock","controller stateless",
"DecompressorUpxshit","data-provider boundary small-class","DecompressorUpxshit::readUnpackingStub","void-accessor collaborator",
"DecompressorUpxshit","data-provider boundary small-class","DecompressorUpxshit::readUnpackingStub","void-accessor collaborator",
"DecompressorScrambler","commander","DecompressorScrambler::setupPackingMethod","command",
"DecompressorScrambler","commander","DecompressorScrambler::decompress","command collaborator",
"DecompressorScrambler","commander","DecompressorScrambler::setupPackingMethod","command",
"DecompressorScrambler","commander","DecompressorScrambler::decompress","command collaborator",
"DecompressorScrambler","commander","DecompressorScrambler::setupPackingMethod","command",
"DecompressorScrambler","commander","DecompressorScrambler::decompress","command collaborator",
"DecompressorScrambler","commander","DecompressorScrambler::setupPackingMethod","command",
"DecompressorScrambler","commander","DecompressorScrambler::decompress","command collaborator",
"DecompressorScrambler","commander","DecompressorScrambler::setupPackingMethod","command",
"DecompressorScrambler","commander","DecompressorScrambler::readPackedData","command",
"DecompressorScrambler","commander","DecompressorScrambler::decompress","command",
"DecompressorScrambler","commander","DecompressorScrambler::setupPackingMethod","command",
"DecompressorScrambler","commander","DecompressorScrambler::readPackedData","command",
"DecompressorScrambler","commander","DecompressorScrambler::decompress","command",
"DecompressorNrv","commander","DecompressorNrv::DecompressorNrv","constructor",
"DecompressorNrv","commander","DecompressorNrv::setupPackingMethod","command",
"DecompressorNrv","commander","DecompressorNrv::decompress","command collaborator",
"DecompressorNrv","commander","DecompressorNrv::setupPackingMethod","command",
"DecompressorNrv","commander","DecompressorNrv::decompress","command collaborator",
"DecompressorNrv","commander","DecompressorNrv::setupPackingMethod","command",
"DecompressorNrv","commander","DecompressorNrv::decompress","command collaborator",
"DecompressorNrv","commander","DecompressorNrv::setupPackingMethod","command",
"DecompressorNrv","commander","DecompressorNrv::decompress","command collaborator",
"DecompressorNrv","commander","DecompressorNrv::setupPackingMethod","command",
"DecompressorNrv","commander","DecompressorNrv::readUnpackingStub","controller stateless",
"DecompressorNrv","commander","DecompressorNrv::readPackedData","controller stateless",
