Unique Class Stereotype,Class Count
minimal-entity boundary,1
commander small-class,1
degenerate small-class,2
data-provider boundary data-class,1
pure-controller small-class,1
commander boundary degenerate,2
entity data-provider boundary,2
pure-controller degenerate small-class,7
controller degenerate,2
data-provider data-class small-class,2
data-provider,11
unclassified,14
empty,213
boundary degenerate small-class,10
data-provider small-class,6
boundary,17
commander boundary small-class,1
commander,3
data-provider boundary small-class,3
data-class small-class,1
degenerate,3
entity boundary small-class,10
small-class,11
data-provider lazy-class,1
data-provider boundary,10
controller small-class,2
entity boundary,11
commander boundary,1
boundary degenerate,1
Total,350
