Unique Class Stereotype,Class Count
factory controller degenerate,1
data-provider boundary lazy-class,1
commander data-class,2
factory small-class,1
entity data-provider boundary small-class,1
entity data-provider boundary degenerate,2
lazy-class small-class,4
entity boundary data-class small-class,2
controller degenerate,27
boundary lazy-class degenerate,12
entity commander boundary,15
empty,1769
commander data-class small-class,10
boundary large-class degenerate,1
boundary small-class,37
data-provider data-class,7
data-provider small-class,34
degenerate small-class,33
boundary lazy-class,5
entity,2
entity minimal-entity commander boundary,2
small-class,96
entity commander boundary degenerate,2
boundary degenerate small-class,95
pure-controller degenerate small-class,36
entity boundary small-class,114
entity boundary lazy-class degenerate,2
degenerate,72
boundary,457
pure-controller small-class,7
entity boundary degenerate,11
boundary data-class,3
commander small-class,66
entity data-provider boundary,86
pure-controller degenerate,5
commander boundary small-class,35
data-provider,62
commander boundary,47
unclassified,307
controller small-class,26
boundary data-class small-class,27
data-provider lazy-class degenerate,2
lazy-class,5
factory pure-controller degenerate small-class,46
pure-controller,3
data-provider boundary small-class,109
controller,10
commander lazy-class small-class,1
data-provider boundary degenerate,21
data-provider lazy-class,2
data-provider boundary,117
entity minimal-entity boundary,14
boundary large-class lazy-class degenerate,1
data-provider data-class small-class,17
data-provider boundary data-class small-class,19
commander boundary data-class,1
data-provider boundary lazy-class degenerate,1
commander boundary degenerate,3
commander lazy-class degenerate,2
boundary degenerate,39
minimal-entity boundary,3
data-class small-class,10
commander degenerate,8
factory controller small-class,4
entity boundary data-class,5
commander,64
commander boundary data-class small-class,10
entity boundary,603
data-class,6
data-provider degenerate,1
data-provider boundary data-class,11
factory degenerate small-class,215
lazy-class degenerate,3
Total,4880
