Unique Class Stereotype,Class Count
unclassified,11
factory controller small-class,1
commander small-class,23
commander boundary,31
boundary degenerate,2
factory pure-controller degenerate small-class,2
entity boundary,17
pure-controller degenerate small-class,3
entity commander boundary,22
boundary degenerate small-class,1
commander boundary small-class,16
pure-controller degenerate,2
minimal-entity commander boundary,2
empty,17
commander,35
data-provider boundary small-class,2
data-provider,3
large-class,1
pure-controller small-class,6
boundary,25
degenerate,8
lazy-class degenerate,6
minimal-entity boundary,3
data-provider boundary,1
data-provider data-class,1
boundary small-class,1
small-class,4
entity boundary small-class,5
data-provider small-class,1
degenerate small-class,2
Total,254
