Unique Method Stereotype,Method Count
void-accessor command,1
property collaborator,4
property controller,1
controller stateless,8
property wrapper,2
predicate non-void-command collaborator,3
predicate wrapper,2
property non-void-command collaborator,7
predicate non-void-command,5
command collaborator,15
wrapper stateless,16
destructor,2
predicate set collaborator,1
property,4
get,11
incidental,2
get collaborator,12
property non-void-command,4
set collaborator,10
set,1
constructor,29
property set factory collaborator,1
collaborator,2
empty,18
unclassified,2
command,7
factory collaborator incidental,2
controller,10
collaborator incidental,9
Total,191
