Unique Class Stereotype,Class Count
data-class,1
entity data-provider boundary small-class,1
data-provider boundary degenerate,1
minimal-entity commander boundary,1
data-provider boundary data-class,1
boundary degenerate,1
data-provider boundary lazy-class small-class,1
data-provider lazy-class small-class,3
commander small-class,5
entity boundary small-class,12
small-class,34
data-provider small-class,17
boundary data-class,1
boundary degenerate small-class,27
commander lazy-class degenerate,1
commander boundary,6
data-provider boundary,19
data-provider boundary data-class small-class,8
commander data-class small-class,1
boundary small-class,7
commander boundary data-class,1
unclassified,21
data-provider,17
data-provider data-class small-class,5
lazy-class data-class small-class,1
boundary data-class small-class,3
commander boundary small-class,3
entity data-provider boundary,12
data-provider boundary small-class,22
empty,291
commander,14
boundary,18
degenerate,8
entity boundary,26
data-class small-class,6
entity commander boundary,2
pure-controller degenerate small-class,6
controller degenerate,1
boundary lazy-class,3
degenerate small-class,11
Total,619
