Unique Method Stereotype,Method Count
void-accessor controller,2
factory stateless,2
get set collaborator,4
get property wrapper,2
incidental,106
property non-void-command,64
property collaborator,557
property non-void-command factory collaborator,10
predicate set,9
wrapper stateless,162
get,306
collaborator incidental,94
get property non-void-command collaborator,12
collaborator,80
predicate set collaborator,12
property non-void-command collaborator,216
property controller,66
set,285
property set,10
constructor,424
factory controller,1
get property controller,2
unclassified,22
controller,52
factory collaborator,4
property,204
command collaborator,884
predicate wrapper,17
void-accessor wrapper,2
predicate non-void-command,70
predicate,189
property wrapper,29
get non-void-command collaborator,7
property set collaborator,12
predicate non-void-command collaborator,135
wrapper,62
get set,10
destructor,186
get predicate non-void-command collaborator,1
copy-constructor,25
void-accessor collaborator,20
predicate collaborator,62
void-accessor,7
void-accessor command collaborator,20
set collaborator,307
non-void-command,1
void-accessor set,2
controller stateless,157
non-void-command factory collaborator,5
predicate controller,16
get wrapper,4
void-accessor command,15
factory controller stateless,3
get collaborator,409
get controller,2
non-void-command collaborator,8
get non-void-command,23
factory incidental,1
property command collaborator,2
get property,10
empty,27
factory collaborator stateless,2
get property collaborator,17
void-accessor set collaborator,1
get property non-void-command,4
command,734
property factory wrapper,1
Total,6197
