Unique Method Stereotype,Method Count
get wrapper,1
get property non-void-command collaborator,1
predicate set,1
get set collaborator,4
void-accessor command collaborator,11
property controller,11
property non-void-command collaborator,143
incidental,39
void-accessor collaborator,12
copy-constructor,13
get,99
collaborator incidental,88
property wrapper,36
get non-void-command collaborator,5
get collaborator,184
command collaborator,541
property,24
collaborator,53
property non-void-command,31
property collaborator,139
property non-void-command factory collaborator,17
wrapper stateless,167
get predicate wrapper,2
factory stateless,1
set,100
constructor,323
get property controller,2
property factory collaborator,3
unclassified,14
controller,30
factory collaborator,5
empty,93
predicate collaborator,45
predicate non-void-command collaborator,94
wrapper,37
get set,1
destructor,198
void-accessor wrapper,3
predicate non-void-command,35
void-accessor command,4
factory controller stateless,3
factory collaborator stateless,2
get set factory,1
controller stateless,156
non-void-command factory collaborator,10
predicate controller,17
property set collaborator,6
predicate,54
factory wrapper stateless,8
get predicate,1
predicate set collaborator,7
property factory controller,1
void-accessor controller,1
predicate wrapper,21
non-void-command collaborator,3
get property wrapper,1
property set,1
factory collaborator incidental,4
get property collaborator,1
void-accessor set collaborator,1
get property non-void-command,3
set collaborator,76
non-void-command,1
property command collaborator,7
property set factory collaborator,1
command,360
property factory wrapper,4
Total,3361
