Unique Method Stereotype,Method Count
factory,2
get predicate collaborator,6
factory wrapper stateless,1
property factory collaborator,1
factory collaborator stateless,1
property command collaborator,5
predicate controller,54
non-void-command,3
set collaborator,121
property non-void-command collaborator,214
property controller,73
get,311
collaborator incidental,42
get property non-void-command collaborator,10
get wrapper,12
factory collaborator,2
controller,122
incidental,39
property non-void-command,109
property collaborator,179
property non-void-command factory collaborator,11
predicate set,14
void-accessor command collaborator,63
copy-constructor,43
void-accessor collaborator,24
property wrapper,51
get non-void-command collaborator,18
predicate,218
wrapper stateless,121
set,240
constructor,376
factory controller,1
get property controller,3
non-void-command factory collaborator,11
controller stateless,246
command,528
empty,17
unclassified,61
destructor,110
predicate wrapper,47
void-accessor wrapper,5
predicate non-void-command,98
predicate set collaborator,13
command collaborator,533
property,216
get property,13
predicate non-void-command collaborator,180
wrapper,68
void-accessor,20
predicate collaborator,91
collaborator,67
property set collaborator,9
get collaborator,193
get controller,16
factory controller stateless,7
void-accessor command,17
get predicate non-void-command collaborator,2
get set,8
get predicate non-void-command,1
property factory controller,4
void-accessor controller,12
non-void-command collaborator,2
get non-void-command,39
void-accessor set,5
get property collaborator,24
void-accessor set collaborator,1
get property non-void-command,2
get set collaborator,4
property set,5
Total,5165
