Unique Class Stereotype,Class Count
pure-controller degenerate small-class,1
commander small-class,2
commander boundary lazy-class,1
lazy-class small-class,1
entity boundary,4
data-provider boundary lazy-class small-class,1
data-provider boundary,1
data-provider boundary data-class small-class,1
boundary small-class,5
controller small-class,3
boundary,5
commander,2
commander boundary small-class,1
unclassified,2
empty,28
boundary degenerate small-class,1
entity commander boundary,2
entity data-provider boundary,1
controller,1
commander boundary,2
boundary degenerate,1
small-class,3
entity boundary small-class,2
Total,71
