Unique Class Stereotype,Class Count
pure-controller,1
entity minimal-entity boundary,3
data-provider boundary degenerate,1
entity data-provider boundary degenerate,1
boundary data-class small-class,2
data-provider lazy-class degenerate,1
factory controller degenerate,1
factory degenerate small-class,2
data-provider boundary data-class,3
data-provider data-class small-class,5
data-provider boundary lazy-class,2
boundary small-class,5
commander data-class small-class,4
data-provider data-class,2
entity,1
data-provider lazy-class small-class,1
boundary data-class,2
minimal-entity boundary,2
data-provider boundary,11
data-provider small-class,24
boundary degenerate small-class,28
data-provider boundary small-class,4
commander boundary small-class,7
unclassified,74
entity boundary lazy-class degenerate,1
entity boundary small-class,9
small-class,24
lazy-class degenerate,3
boundary lazy-class,3
degenerate small-class,12
commander boundary degenerate,1
controller lazy-class degenerate,1
pure-controller degenerate,11
pure-controller small-class,2
boundary,43
degenerate,17
commander boundary,15
controller,3
boundary degenerate,10
entity commander boundary,2
pure-controller degenerate small-class,22
data-class,5
controller degenerate,3
data-class small-class,4
entity boundary,30
commander,15
empty,306
entity small-class,3
data-provider boundary data-class small-class,8
data-provider,23
commander small-class,5
commander boundary data-class small-class,2
entity data-provider boundary,11
Total,781
