Class Name,Class Stereotype,Method Name,Method Stereotype
"WebSocketProtocol","empty","WebSocketProtocol","constructor",
"HttpRequest","unclassified","isAncient","get",
"HttpRequest","unclassified","getYield","get",
"HttpRequest","unclassified","begin","collaborator incidental",
"HttpRequest","unclassified","end","collaborator incidental",
"HttpRequest","unclassified","setYield","set",
"HttpRequest","unclassified","getHeader","property non-void-command collaborator",
"HttpRequest","unclassified","getUrl","property controller",
"HttpRequest","unclassified","getFullUrl","controller stateless",
"HttpRequest","unclassified","getCaseSensitiveMethod","controller stateless",
"HttpRequest","unclassified","getMethod","controller stateless",
"HttpRequest","unclassified","getQuery","property controller",
"HttpRequest","unclassified","getQuery","property controller",
"HttpRequest","unclassified","setParameters","set collaborator",
"HttpRequest","unclassified","setParameterOffsets","set collaborator",
"HttpRequest","unclassified","getParameter","property non-void-command collaborator",
"HttpRequest","unclassified","getParameter","get property collaborator",
"Http3Request","pure-controller degenerate small-class","getHeader","controller stateless",
"H3App","controller","H3App","copy-constructor",
"H3App","controller","listen","property non-void-command collaborator",
"H3App","controller","listen","property non-void-command collaborator",
"H3App","controller","listen","property controller",
"H3App","controller","listen","property controller",
"H3App","controller","get","property controller",
"H3App","controller","post","property controller",
"H3App","controller","options","property controller",
"H3App","controller","del","property controller",
"H3App","controller","patch","property controller",
"H3App","controller","put","property controller",
"H3App","controller","head","property controller",
"H3App","controller","connect","property controller",
"H3App","controller","trace","property controller",
"H3App","controller","any","property controller",
"H3App","controller","run","command",
"AsyncFileStreamer","commander small-class","AsyncFileStreamer","constructor",
"AsyncFileStreamer","commander small-class","updateRootCache","set",
"AsyncFileStreamer","commander small-class","streamFile","command collaborator",
"BackPressure","unclassified","BackPressure","copy-constructor",
"BackPressure","unclassified","append","command",
"BackPressure","unclassified","erase","unclassified",
"BackPressure","unclassified","length","property non-void-command",
"BackPressure","unclassified","clear","set",
"BackPressure","unclassified","reserve","command",
"BackPressure","unclassified","resize","command",
"BackPressure","unclassified","data","property non-void-command",
"BackPressure","unclassified","size","property non-void-command",
"BackPressure","unclassified","totalLength","property non-void-command",
"ClientApp","degenerate small-class","ClientApp","constructor",
"ClientApp","degenerate small-class","connect","wrapper stateless",
"ClientApp","degenerate small-class","run","empty",
"HttpContext","entity boundary","getLoop","property non-void-command collaborator",
"HttpContext","entity boundary","getSocketContext","collaborator incidental",
"HttpContext","entity boundary","getSocketContextData","property non-void-command collaborator",
"HttpContext","entity boundary","init","property non-void-command collaborator",
"WebSocketContext","boundary degenerate small-class","getSocketContext","collaborator incidental",
"WebSocketContext","boundary degenerate small-class","getExt","wrapper stateless",
"AsyncSocket","boundary","throttle_helper","command",
"AsyncSocket","boundary","getNativeHandle","wrapper stateless",
"AsyncSocket","boundary","getLoopData","wrapper stateless",
"AsyncSocket","boundary","getAsyncSocketData","wrapper stateless",
"AsyncSocket","boundary","timeout","wrapper stateless",
"AsyncSocket","boundary","shutdown","wrapper stateless",
"AsyncSocket","boundary","pause","property non-void-command collaborator",
"AsyncSocket","boundary","resume","property non-void-command collaborator",
"AsyncSocket","boundary","close","wrapper stateless",
"AsyncSocket","boundary","corkUnchecked","command",
"AsyncSocket","boundary","uncorkWithoutSending","command",
"AsyncSocket","boundary","cork","command",
"AsyncSocket","boundary","isCorked","predicate non-void-command",
"AsyncSocket","boundary","canCork","predicate non-void-command",
"AsyncSocket","boundary","getSendBuffer","property non-void-command collaborator",
"AsyncSocket","boundary","getBufferedAmount","property non-void-command",
"AsyncSocket","boundary","addressAsText","controller stateless",
"AsyncSocket","boundary","getRemoteAddress","wrapper stateless",
"AsyncSocket","boundary","getRemoteAddressAsText","property non-void-command collaborator",
"AsyncSocket","boundary","write","property non-void-command",
"AsyncSocket","boundary","uncork","property non-void-command collaborator",
"AsyncSocketData","empty","AsyncSocketData","constructor",
"Http3Response","boundary degenerate","close","empty",
"Http3Response","boundary degenerate","endWithoutBody","empty",
"Http3Response","boundary degenerate","writeStatus","controller stateless",
"Http3Response","boundary degenerate","writeHeader","property non-void-command collaborator",
"Http3Response","boundary degenerate","tryEnd","property non-void-command collaborator",
"Http3Response","boundary degenerate","write","collaborator incidental",
"BloomFilter","boundary","getFeatures","controller stateless",
"BloomFilter","boundary","mightHave","get predicate non-void-command collaborator",
"BloomFilter","boundary","add","command collaborator",
"BloomFilter","boundary","reset","command",
"SocketContextOptions","boundary degenerate small-class","operatorstructus_socket_context_options_t","wrapper stateless",
"AsyncFileReader","entity boundary small-class","AsyncFileReader","constructor",
"AsyncFileReader","entity boundary small-class","peek","property non-void-command collaborator",
"AsyncFileReader","entity boundary small-class","request","command collaborator",
"HttpResponse","boundary","getHttpResponseData","wrapper stateless",
"HttpResponse","boundary","writeUnsignedHex","wrapper stateless",
"HttpResponse","boundary","writeUnsigned64","wrapper stateless",
"HttpResponse","boundary","writeMark","command",
"HttpResponse","boundary","internalEnd","predicate non-void-command",
"HttpResponse","boundary","getProxiedRemoteAddress","property non-void-command collaborator",
"HttpResponse","boundary","getProxiedRemoteAddressAsText","property non-void-command collaborator",
"HttpResponse","boundary","upgrade","command collaborator",
"HttpResponse","boundary","pause","wrapper stateless",
"HttpResponse","boundary","resume","wrapper stateless",
"HttpResponse","boundary","writeContinue","wrapper stateless",
"HttpResponse","boundary","writeStatus","property non-void-command collaborator",
"HttpResponse","boundary","writeHeader","property non-void-command collaborator",
"HttpResponse","boundary","writeHeader","property non-void-command",
"HttpResponse","boundary","endWithoutBody","controller stateless",
"HttpResponseData","small-class","markDone","command",
"HttpResponseData","small-class","callOnWritable","predicate set collaborator",
"Loop","degenerate","init","wrapper stateless",
"Loop","degenerate","free","controller stateless",
"Loop","degenerate","addPostHandler","controller stateless",
"Loop","degenerate","removePostHandler","controller stateless",
"Loop","degenerate","addPreHandler","controller stateless",
"Loop","degenerate","removePreHandler","controller stateless",
"Loop","degenerate","defer","controller stateless",
"Loop","degenerate","run","wrapper stateless",
"Loop","degenerate","integrate","wrapper stateless",
"Loop","degenerate","setSilent","wrapper stateless",
"LoopData","boundary small-class","~LoopData","destructor",
"LoopData","boundary small-class","updateDate","wrapper",
"HttpRouter","small-class","lexicalOrder","controller stateless",
"HttpRouter","small-class","getNode","property non-void-command collaborator",
"any_invocable_impl","unclassified","any_invocable_impl","constructor",
"any_invocable_impl","unclassified","any_invocable_impl","copy-constructor",
"any_invocable_impl","unclassified","operator=","property non-void-command",
"any_invocable_impl","unclassified","operator=","property non-void-command",
"any_invocable_impl","unclassified","~any_invocable_impl","destructor",
"any_invocable_impl","unclassified","swap","void-accessor command collaborator",
"any_invocable_impl","unclassified","operatorbool","unclassified",
"any_invocable_impl","unclassified","create","command collaborator",
"any_invocable_impl","unclassified","destroy","set",
"any_invocable_impl","unclassified","call","property wrapper",
"any_invocable_impl","unclassified","operator==","incidental",
"any_invocable_impl","unclassified","operator==","incidental",
"any_invocable_impl","unclassified","operator!=","incidental",
"any_invocable_impl","unclassified","operator!=","incidental",
"any_invocable_impl","unclassified","swap","incidental",
"ParameterParser","entity boundary small-class","ParameterParser","constructor",
"ParameterParser","entity boundary small-class","getKeyValue","property non-void-command collaborator",
"ParameterParser","entity boundary small-class","getToken","property non-void-command collaborator",
"MultipartParser","entity boundary","MultipartParser","constructor",
"MultipartParser","entity boundary","isValid","predicate non-void-command",
"MultipartParser","entity boundary","setBody","set collaborator",
"MultipartParser","entity boundary","getNextPart","property collaborator",
"ChunkIterator","unclassified","ChunkIterator","constructor",
"ChunkIterator","unclassified","ChunkIterator","constructor",
"ChunkIterator","unclassified","begin","incidental",
"ChunkIterator","unclassified","end","wrapper stateless",
"ChunkIterator","unclassified","operator*","property non-void-command collaborator",
"ChunkIterator","unclassified","operator!=","predicate",
