Unique Class Stereotype,Class Count
data-provider lazy-class degenerate,1
boundary degenerate,1
pure-controller degenerate,1
data-provider small-class,5
data-provider boundary data-class small-class,1
boundary small-class,15
data-provider boundary,13
commander boundary data-class,1
controller small-class,4
unclassified,3
data-provider boundary small-class,5
empty,130
commander,1
lazy-class,1
data-provider,2
entity boundary small-class,8
small-class,10
pure-controller degenerate small-class,11
entity commander boundary,2
boundary degenerate small-class,3
entity boundary,18
data-class small-class,3
boundary,21
pure-controller small-class,5
degenerate,3
entity data-provider boundary,3
degenerate small-class,2
entity boundary degenerate,1
commander small-class,3
commander boundary small-class,3
data-provider boundary degenerate,1
commander boundary,4
entity minimal-entity boundary,1
Total,286
