Unique Method Stereotype,Method Count
property factory controller,1
property set,1
predicate non-void-command,1
void-accessor set,1
predicate collaborator,2
wrapper,4
wrapper stateless,48
predicate wrapper,3
get collaborator,31
command collaborator,118
empty,22
command,35
void-accessor command collaborator,66
property,14
controller stateless,30
property non-void-command factory collaborator,1
predicate set,1
property collaborator,23
property non-void-command,11
get property controller,1
constructor,102
get property collaborator,1
set,31
get,51
collaborator incidental,5
property wrapper,3
incidental,48
copy-constructor,7
predicate non-void-command collaborator,3
destructor,15
property set collaborator,4
property non-void-command collaborator,50
property controller,13
set collaborator,68
void-accessor command,9
void-accessor set collaborator,8
predicate,13
Total,845
