Unique Class Stereotype,Class Count
lazy-class data-class small-class,1
boundary lazy-class degenerate,54
controller degenerate,4
commander data-class small-class,4
data-provider data-class,2
data-provider small-class,13
data-provider,90
controller,1
data-provider boundary small-class,30
empty,5289
entity small-class,2
boundary,121
pure-controller small-class,3
degenerate small-class,63
boundary lazy-class,3
entity boundary degenerate,2
unclassified,131
controller small-class,5
boundary small-class,15
boundary large-class degenerate,1
boundary degenerate small-class,55
entity commander boundary,24
commander boundary,54
boundary degenerate,40
data-provider data-class small-class,15
data-provider boundary data-class small-class,19
small-class,52
commander boundary degenerate,1
degenerate,132
controller lazy-class degenerate,1
commander lazy-class,1
commander small-class,24
boundary data-class,5
factory controller small-class,30
commander degenerate,3
data-class small-class,6
minimal-entity boundary,1
commander boundary small-class,21
commander,64
commander boundary data-class small-class,2
entity boundary,68
data-class,10
entity data-provider boundary degenerate,1
data-provider boundary lazy-class degenerate,7
data-provider lazy-class degenerate,6
boundary data-class small-class,2
factory pure-controller degenerate small-class,1
lazy-class degenerate,2
pure-controller degenerate small-class,28
entity boundary small-class,23
minimal-entity commander boundary,1
entity data-provider boundary,60
pure-controller degenerate,7
factory degenerate small-class,3
data-provider boundary,69
entity minimal-entity boundary,9
data-provider boundary data-class,8
data-provider degenerate,3
commander lazy-class small-class,1
lazy-class small-class,1
data-provider lazy-class,1
Total,6695
